germanic	Germanic
bulgarian_new	Bulgarian
estonian	Estonian
lithuanian	Lithuanian
latvian	Latvian
greek	Greek
pontic_greek	Pontic
goths	Gothic
georgian	Georgian
circassian	Circassian
dagestani	Dagestani
armenian	Armenian
turkish	Turkish
al_misr_arabic	Egyptian
al_suryah_arabic	Syrian
al_iraqiya_arabic	Mashriqi
gulf_arabic	Khaleeji
bedouin_arabic	Bedouin
mahri_culture	Mahri
hejazi_culture	Hejazi
omani_culture	Omani
yemeni_culture	Yemeni
moroccan	Moroccan
tunisian	Tunisian
algerian	Algerian
berber	Berber
persian	Persian
luri	Luri
azerbaijani	Azerbaijani
khorasani	Khorasani
baluchi	Baluchi
afghani	Afghan
kurdish	Kurdish
mazandarani	Mazandarani
mongol	Mongol
chahar	Korchin
khalkha	Khalkha
oirats	Oirat
uzbehk	Uzbek
turkmeni	Turkmeni
uyghur	Uyghur
khazak	Kazakh
kirgiz	Kyrgyz
aztek	Aztec
totonac	Totonac
purepecha	Purepecha
matlatzinca	Matlantzinca
tecos	Tecos
tepic	Tepic
chichimecan	Chichimecan
guamares	Guamares
otomi	Otomi
yaqui	Yaqui
yucatec	Yucatec
putun	Putun
mayan	Mayan
highland_mayan	Highland Mayan
lacandon	Lacandon
wastek	Wastek
chontales	Chontales
zapotek	Zapotek
mixtec	Mixtec
tlapanec	Tlapanec
inca	Quechua
aimara	Aimara
diaguita	Diaguita
chimuan	Chimuan
tupinamba	Tupinamba
guarani	Guarani
charruan	Charruan
ge	Ge
jivaro	Jivaro
chachapoyan	Chachapoyan
muisca	Muisca
cara	Caran
miskito	Miskito
chacoan	Chacoan
mapuche	Mapuche
patagonian	Patagonian
het	Het
huarpe	Huarpe
arawak	Taino
maipurean	Maipurean
carib	Carib
guajiro	Lokono
aleutian	Aleutian
inuit	Inuit
shawnee	Shawnee
illini	Illini
miami	Myaamia
anishinabe	Anishinabe
algonquin	Anicinabe
cree	Cree
innu	Innu-Naskapi
mesquakie	Mesquakie
cheyenne	Cheyenne
blackfoot	Blackfoot
arapaho	Arapaho
plains_cree	Plains Cree
bungi	Bungi
delaware	Delaware
abenaki	Abenaki
mikmaq	Mikmaq
maliseet	Maliseet
mahican	Mahican
powhatan	Powhatan
pequot	Pequot
massachusset	Massachusset
iroquois	Iroquois
cherokee	Cherokee
huron	Huron
laurentian	Laurentian
tionontate	Tionontate
susquehannock	Susquehannock
dakota	Dakota
nakota	Nakota
chiwere	Chiwere
osage	Osage
wichita	Wichita
caddo	Caddo
pawnee	Pawnee
creek	Creek
choctaw	Choctaw
chickasaw	Chickasaw
yuchi	Yuchi
yoron	Yoron
catawba	Catawba
natchez	Natchez
yamasee	Yamasee
pueblo	Pueblo
piman	Piman
shoshone	Shoshone
kiowa	Kiowa
apache	Eastern Apache
mescalero	Mescalero
lipan	Lipan
navajo	Navajo
chipewyan	Chipewyan
haida	Haida
athabascan	Athabascan
salish	Salish
chinook	Chinook
yokuts	Yokuts
vietnamese_new	Sino-Vietnamese
korean_new	Sino-Korean
tibetan_new	Sino-Tibetan
altaic_new	Sino-Altaic
zhuang_new	Sino-Zhuang
manchu_new	Manchu
chihan	Zhili
cantonese	Cantonese
jin	Jin
wu	Wu
chimin	Min
hakka	Hakka
gan	Gan
xiang	Xiang
sichuanese	Sichuanese
jianghuai	Jianghuai
xibei	Xibei
hubei	Hubei
zhongyuan	Zhongyuan
shandong_culture	Shandong
korean	Korean
togoku	Togoku
japanese	Saigoku
kyushuan	Kyushuan
tibetan	Tibetan
yi	Yi
bai	Bai
miao	Miao
malayan	Malayan
sumatran	Sumatran
acehnese	Acehnese
javanese	Javanese
sundanese	Sundanese
filipino	Filipino
bornean	Bornean
madagascan	Madagascan
sulawesi	Sulawesi
moluccan	Moluccan
nusa_tenggara	Nusa Tenggara
cham	Cham
central_thai	Siamese
northern_thai	Khon Muang
lao	Lao
shan	Shan
zhuang	Zhuang
khmer	Khmer
mon	Mon
vietnamese	Vietnamese
burmese	Burmese
chin	Chin
karen	Karen
kachin	Kachin
arakanese	Arakanese
papuan	Papuan
maori	Maori
melanesian	Melanesian
polynesian	Polynesian
aboriginal	Kuric
yura	Yura
paman	Paman
gunwinyguan	Gunwinyguan
palawa	Palawa
kulin	Kulin
gamilaraay	Gamilaraay
nyoongah	Nyoongah
assamese	Assamese
bengali	Bengali
kochi	Kochi
bihari	Bihari
pahari	Pahari
nepali	Nepali
oriya	Oriya
sinhala	Sinhalese
avadhi	Avadhi
kanauji	Hindavi
vindhyan	Vindhyan
panjabi	Panjabi
kashmiri	Kashmiri
gujarati	Gujarati
parsi	Parsi
saurashtri	Saurashtri
marathi	Marathi
sindhi	Sindhi
rajput	Rajasthani
malvi	Malvi
kannada	Kannada
malayalam	Malayalam
tamil	Tamil
telegu	Telugu
gondi	Gondi
garjati	Garjati
jharkhandi	Jharkandi
mali	Mali
songhai	Songhai
soninke	Soninke
bambara	Bambara
bozo	Bozo
dyola	Dyola
hausa	Hausa
kanuri	Kanuri
bilala	Bilala
tunjur	Tunjur
tuareg	Tuareg
senegambian	Senegambian
fulani	Fulani
yorumba	Yoruba
aka	Akan
nupe	Nupe
fon	Fon
mossi	Mossi
dagomba	Dagomba
makua	Makua
nguni	Nguni
bemba	Bemba
khoisan	Khoisan
shona	Shona
nyasa	Nyasa
lunda	Lunda
luba	Luba
kongolese	Kongolese
yaka	Yaka
kuba	Kuba
mbundu	Mbundu
chokwe	Chokwe
mbangala	Mbangala
jukun	Jukun
sawabantu	Sawabantu
rwandan	Rwandan
ganda	Ganda
masaba	Masaba
madagasque	Malagasy
takama	Takama
bena	Bena
bantu	Thagiicu
swahili	Swahili
somali	Somali
harari	Harari
afar	Afar
oromo	Oromo
tigray	Tigray
sidamo	Sidamo
amhara	Amhara
acholi	Acholi
nubian	Nubian
beja	Beja
evenk	Evenk
yakut	Yakut
yukagyr	Yukaghir
buryat	Buryat
tungus	Tungus
manchu	Jurchen
ainu	Ainu
kamchatkan	Kamchatkan
nivkh	Nivkh
astrakhani	Astrakhani
bashkir	Bashkir
crimean	Crimean
kazani	Kazani
mishary	Mishar
nogaybak	Nogai
siberian	Siberian
atlantean	Atlantean
spartan	Spartan
athenian	Athenian
old_egyptian	Old Egyptian
roman	Roman
jan_mayenese	Jan Mayenese
pruthenian	Pruthenian
phoenician	Phoenician
scanian	Scanian
anglosaxon	Anglo-Saxon
babylonian	Babylonian
etrurian	Etrurian
parthian	Parthian
aramaic	Aramaic
hebrew	Hebrew
scythian	Scythian
livonian	Livonian
