hie_ach_eastern_goods_western_demand	Eastern Goods, Western Demand
hie_epi_latin_greek_hellenes	We Are Not Latin, Not Greek We Are Hellenes
hie_epi_latin_technology_greek_wisdom	Latin Technology, Greek Wisdom
hie_epi_venetian_naval_advisor	Venetian Naval Advisors
hie_epi_mare_nostrum	Mare Nostrum
hie_feo_melting_pot_pontic_steppe	Melting Pot of the Pontic Steppe
hie_feo_unification_gothic_imperial_codes	The Unification of the Gothic and Imperial Codes
hie_feo_princesses_theodoro	The Princesses of Theodoro
hie_feo_city_chersones_forts_kalamita_dory	The City of Chersonese and the forts of Kalamita and Dory
hie_feo_reclaiming_gothic_motherland	Reclaiming Our Gothic Motherland
hie_feo_ruthenians_exile	Ruthenians in Exile
hie_feo_spread_gothic_monasteries	The Spread of Gothic Monasteries
hie_gre_gre_home_democracy_philosophy	The Home of Democracy and Philosophy
hie_gre_gre_klepths_armatoloi	Klephts and Armatoloi
hie_gre_gre_navy_legendary	Our Navy Is Legendary!
hie_gre_gre_grand_havens_mediterranean	The Grand Havens of the Mediterranean
hie_gre_gre_remember_past_remember_macedon	Remember Our Past, Remember Macedon
hie_gre_gre_rule_hellespont	We Rule the Hellespont
hie_gre_gre_eleftheria_thanatos	Eleftheria I Thanatos
hie_gre_lat_literal_renaissance	Our Literal Renaissance
hie_gre_lat_greek_latin_church	The Greek Latin Church
hie_gre_lat_reconstruction_parthenon	The Reconstruction of the Parthenon
hie_gre_lat_athens_old	Athens of Old
hie_gre_lat_birthplace_democracy	The Birthplace of Democracy
hie_gre_lat_unite_ancient_leagues	Unite the Ancient Leagues
hie_gre_lat_macedonian_reforms	Macedonian Reforms
hie_hun_order_of_the_dragon	Societas Draconistarum
hie_hun_naszad	Naszad
hie_hun_memories_siege_belgrade	Nandorfehervari Diadale
hie_hun_the_black_army	Fekete Sereg
hie_hun_extraordinary_tax	Extraordinary Tax
hie_hun_decretum_maius	Decretum Maius
hie_hun_bibliotheca_corviniana	Bibliotheca Corviniana
hie_kni_our_crusade_over	Our Crusade Is Not Over
hie_kni_order_army	Our Order Became Many
hie_kni_cultural_allocation_priory_estates	The Cultural Allocation of the Priory Estates
hie_kni_fortification_experts	Fortification Experts
hie_kni_defenders_faith	We Are the Defenders of the Faith
hie_kni_foreign_interest_investments	Foreign Interests and Investment
hie_kni_jerusalem_kingdom_heaven	To Jerusalem, for the Kingdom of Heaven
hie_moe_despotate_mystras	Despots of Mystras
hie_moe_palaelogan_renaissance	The Palaeologan Renaissance
hie_moe_last_rohmanoi	Last of the Rohmanoi
hie_moe_our_refuge_our_citadel	Our Refuge, Our Citadel
hie_moe_establishing_allagia	Establishing the Allagia
hie_moe_reestablishment_themata_pronoia	Re-Establishment of Themata and Pronoia
hie_moe_empire_will_be_ours_again	The Empire Will Be Ours Yet Again
hie_nax_pronoia	Pronoia
hie_nax_assimilation_xenos	Assimilation of the Xenos
hie_nax_reestablishment_aegean_hegemonie	Re-Establishment of the Aegean Hegemonie
hie_nax_traditional_way_life	Traditional Way of Life
hie_nax_wooden_wall	Our Wooden Wall
hie_nax_aegean_battlefield	The Aegean Battlefield
hie_nax_pan_hellenism	Pan Hellenism
hie_rag_saint_blaise	Saint Blaise
hie_rag_liber_statutorum_civitatis_ragusii	Liber statutorum civitatis Ragusii
hie_rag_slavic_latin_union	Slavic-Latin Union
hie_rag_republic_ancona	Republic of Ancona
hie_rag_abolition_slavery	Abolition of Slavery
hie_rag_doors_blakans_orient	The Door to Balkans and Orient
hie_rag_venetian_rivalry	Venetian Rivalry
hie_ser_gusar	Gusar
hie_ser_patriarchate_pec	Patriarchate of Pec
hie_ser_dusan_code	Dušan's Code
hie_ser_dusan_reforms	Dusan's Reforms
hie_ser_dinar	Dinar
hie_ser_gradozandaje	Gradozadanje
hie_ser_vlachs	Vlachs
hie_tur_timarli_sipahi	Timarli Sipahi
hie_tur_slaves_of_sublime_porte	Kapikulu Ocagi
hie_tur_imperial_council	Divan-I Hümayun
hie_tur_osmans_dream	Osman's Dream
hie_tur_indian_ocean_expeditions	Hint Seferleri
hie_tur_bombardiers	Humbaraci
hie_tur_advice_for_the_king	Nasihatname
hie_wal_well_rounded_soldiers	Well Rounded Soldiers
hie_wal_restoring_voivodie	Restoring the Voivodie
hie_wal_european_mongolian_frontier	European-Mongolian Frontier
hie_wal_order_dragon	Order of the Dragon
hie_wal_danube_fortifications	Danube Fortifications
hie_wal_union_of_romanians	Union of Romanians
hie_wal_phanarotie_century	Phanariote Century
hie_cnn_holy_roman_ties	Holy Roman Ties
hie_cnn_bod_an_balcuigh	Bod-An-Balcuigh
hie_cnn_anglo_irish_inheritance_laws	Anglo-Irish Inheritance Laws
hie_cnn_force_issue	Force the Issue
hie_cnn_true_heirs_connacht	True Heirs of Connacht
hie_cnn_atlantic_port_ireland	Atlantic Port of Ireland
hie_cnn_elevation_earl	Elevation to Earl
hie_dms_port_cork	The Port of Cork
hie_dms_defend_gaels	Defend the Gaels
hie_dms_munster_ambition	The Munster Ambition
hie_dms_old_gods	The Old Gods
hie_dms_representative_ireland_abroad	Representative of Ireland Abroad
hie_dms_culture_service	Culture of Service
hie_dms_introduction_potato_ireland	Introduction of the Potato to Ireland
hie_kid_brigid	St. Brigid
hie_kid_more_than_irish	More Than Irish
hie_kid_lords_deputy	Lords Deputy
hie_kid_silver_tongues	Silver Tongues
hie_kid_silken_thomas	Silken Thomas
hie_kid_wizard_earl	The Wizard Earl
hie_kid_franciscan_support	Franciscan Support
hie_fly_clonmacnoise	Clonmacnoise
hie_fly_irish_hospitalities	Irish Hospitality
hie_fly_patronize_irish_music	Patronize Irish Music
hie_fly_pilgrimages_abroad	Pilgrimages Abroad
hie_fly_buonnacht_system	Buonnacht System
hie_fly_tower_churches	Tower Churches
hie_fly_river_trade_experties	River Trade Expertise
hie_ire_high_kingship	High Kingship
hie_ire_brendan_ily_brasil	St. Brendan and Ily Brasil
hie_ire_more_than_irish	More Than Irish
hie_ire_introduction_potatoes	Introduction of Potatoes
hie_ire_peat_cultivation	Peat Cultivation
hie_ire_irish_crofters	Irish Crofters
hie_ire_unconquerable_ireland	Unconquerable Ireland
hie_mcm_red_stag	The Red Stag
hie_mcm_blarney_stone	The Blarney Stone
hie_mcm_norman_frontier	The Norman Frontier
hie_mcm_land_castles	Land of Castles
hie_mcm_brave_faithful	The Brave and the Faithful
hie_mcm_spanish_ties	Spanish Ties
hie_mcm_pirate_heaven	Pirate Haven
hie_mns_dal_gcais_blood	Dal Gcais Blood
hie_mns_reconquest_ireland	Reconquest of Ireland
hie_mns_obrien_legacy	The O'Brien Legacy
hie_mns_reclaim_high_kingship	Reclaim the High Kingship
hie_mns_renovate_cashel	Renovate Cashel
hie_mns_enforce_cios_dubh	Enforce the Cíos Dubh
hie_mns_refuge_gaelic_defiance	Refuge for Gaelic Defiance
hie_mth_book_kells	Book of Kells
hie_mth_rebuild_tara	Rebuild Tara
hie_mth_recover_lost_province	Recover the Lost Province
hie_mth_parliament_ireland	Parliament of Ireland
hie_mth_irish_castellization	Irish Castellization
hie_mth_beyond_pale	Beyond the Pale
hie_mth_welcome_sassenachs	Welcome the Sassenachs
hie_ord_english_service	English Service
hie_ord_patronize_irish_literature	Patronize Irish Literature
hie_ord_resolving_irish_english_feuds	Resolving Irish and English Feuds
hie_ord_lessons_war_roses	Lessons of the War of the Roses
hie_ord_irish_gentlemanly_virtues	Irish Gentlemanly Virtues
hie_ord_english_court	English Court
hie_ord_wool_earl	The Wool Earl
hie_sln_free_gaelic_towns	Free Gaelic Towns
hie_sln_kerns	Kerns
hie_sln_encourage_dyes_trade	Encourage the Dyes Trade
hie_sln_preserve_irish_culture	Preserve Irish Culture
hie_sln_tower_houses_gaelic_castles	Tower Houses and Gaelic Castles
hie_sln_study_norman_militaries	Study Norman Militaries
hie_sln_hell_connacht	To Hell or to Connacht
hie_tyr_true_high_king	True High King
hie_tyr_ui_neill_lineage	UI Neill Lineage
hie_tyr_taking_hostages	Taking of Hostages
hie_tyr_tanistry_law	Tanistry Law
hie_tyr_scottish_brother_kingdom	Scottish Brother Kingdom
hie_tyr_arming_people	Arming the People
hie_tyr_strength_through_negotiation	Strength Through Negotiation
hie_try_last_ancient_kingdoms	Last of the Ancient Kingdoms
hie_try_standardize_gallowglasses	Standardize Gallowglasses
hie_try_st_patrick_cross	St. Patrick's Cross
hie_try_fisher_kings	The Fisher Kings
hie_try_patrick_purgatory	St. Patrick's Purgatory
hie_try_lessons_knockavoe	Lessons of Knockavoe
hie_try_chief_fortress_ireland	Chief Fortress of Ireland
hie_eng_common_law	Common Law
hie_eng_royal_navy	The Royal Navy
hie_eng_acts_union	Acts of Union
hie_eng_acts_concerning_regulation_trade	Acts Concerning the Regulation of Trade
hie_eng_new_model_army	New Model Army
hie_eng_admiralty	The Admiralty
hie_eng_empiricism	Empiricism
hie_sco_declaration_arbroath	Declaration of Arbroath
hie_sco_schiltron	Schiltron
hie_sco_universal_literacy	Universal Literacy
hie_sco_reform_highlander_regiments	Reform the Highlander Regiments
hie_sco_scottish_enlightenment	Scottish Enlightenment
hie_sco_wealth_nations	The Wealth of Nations
hie_sco_industrial_revolution	Industrial Revolution
hie_gbr_trade_and_navigation	The Navigation Acts
hie_gbr_triangle_trade	The Triangle Trade
hie_gbr_eic_patronage	The East India Company
hie_gbr_articles_of_war	Articles of War
hie_gbr_scientific_gunnery	Scientific Gunnery
hie_gbr_redcoats	Redcoats!
hie_gbr_domestic_revolution	Domestic Revolution
hie_arm_legacy_armenian_empire	Legacy of the Armenian Empire
hie_arm_apostolic_church	Apostolic Church
hie_arm_armenian_cataphracts	Armenian Cataphracts
hie_arm_mount_ararat	Mount Ararat
hie_arm_karabkh_horses	Karabakh Horses
hie_arm_valley_copper_wine	Valley of Copper and Wine
hie_arm_cultural_resiliance	Cultural Resilience
hie_avr_footsteps_pannonian_avars	In the Footsteps of the Pannonian Avars
hie_avr_mountaineer_horse_riders	Mountaineer Horse Riders
hie_avr_nomadic_lifestyle	Nomadic Lifestyle
hie_avr_protectors_derbent	Protectors of the Derbent
hie_avr_masterful_metalworkers	Masterful Metalworkers
hie_avr_flexible_alliance	Flexible Alliances
hie_avr_prevent_russian_encroachment	Prevent the Russian Encroachment
hie_cir_head_choppers	Head Choppers
hie_cir_genoese_ties	Genoese Ties
hie_cir_circassian_steppes	Circassian Steppes
hie_cir_federalism	Federalism
hie_cir_cicassian_in_all_courts	Circassians in all courts
hie_cir_papal_correspondence	Papal Correspondence
hie_cir_always_surrounded	Always Surrounded, Never Surrendering
hie_geo_bagrationi_dynasty	Bagrationi Dynasty
hie_geo_last_christian_bastion	The Last Christian Bastion
hie_geo_kipchak_settlements	Kipchak Settlements
hie_geo_campaigns_king_tamar	Campaigns of King Tamar
hie_geo_sadrosho_banners	Sadrosho Banners
hie_geo_shadow_empire	Shadow of an Empire
hie_geo_avenge_battle_chalagan	Avenge the Battle of Chalagan
hie_ime_breaking_yoke_ilkhanate	Breaking the Yoke of the Ilkhanate
hie_ime_genoese_colony_bati	Genoese Colony of Lo Bati
hie_ime_islamic_affiliation	Islamic Affiliation
hie_ime_center_georgian_literature	Center of Georgian literature
hie_ime_persian_ties	Persian Ties
hie_ime_black_sea_port	Black Sea Ports
hie_ime_fertile_black_sea_coast	Fertile Black Sea Coast
hie_mlk_letters_from_byzantines	Letters from the Byzantines
hie_mlk_descendents_kings_artsakh	Descendents of the Kings of Artsakh
hie_mlk_five_melikdoms_karabakh	Five Melikdoms of Karabakh
hie_mlk_karabakh_horses	Karabakh Horses
hie_mlk_syghnakh_recruitment_system	Syghnakh Recruitment System
hie_mlk_last_bastion_armenian_independence	Last Bastion of Armenian Independence
hie_mlk_cultural_resilience	Cultural Resilience
hie_sme_jaqeli_jakeli	Jaqeli and Jakeli
hie_sme_rabati_fortress	Rabati Fortress
hie_sme_gelati_academy	Gelati Academy
hie_sme_legacy_david_builder	Legacy of David the Builder
hie_sme_lessons_ertsukhi	Lessons of Ertsukhi
hie_sme_defenders_faith	Defenders of Faith
hie_sme_ones_who_broke_mongols	The Ones Who Broke the Mongols
hie_srv_bukhara_silk	Bukhara Silk
hie_srv_palace_shirvanshahs	Palace of the Shirvanshahs
hie_srv_kurdish_roots	Kurdish Roots
hie_srv_reforms_manuchihr	Reforms of Manuchihr
hie_srv_kura_river_agriculture	Kura River Agriculture
hie_srv_great_city_shusha	Great city of Shusha
hie_srv_persian_trade	Persian Trade
hie_lit_protectorate_ruthenia	Protectorate of Ruthenia
hie_lit_crusade_against_hordes	Crusade against the Hordes
hie_lit_lithuanian_endurance	Lithuanian Endurance
hie_lit_eastern_balance_power	Eastern Balance of Power
hie_lit_revitilazing_ruthenia	Revitalizing Ruthenia
hie_lit_statutes_lithuania	Statutes of Lithuania
hie_lit_lithuanian_renaissance	Lithuanian Renaissance
hie_plc_pol_rebirth	Odrodzenie
hie_plc_pol_pacta_conventa	Pacta Conventa
hie_plc_pol_warsaw_confederation	Konfederacja Warszawska
hie_pol_pospolite_ruszenie	Pospolite Ruszenie
hie_pol_winged_hussars	Skrzydlata Husaria
hie_plc_pol_magnates	Magnateria
hie_plc_pol_computed_army	Wojsko Komputowe
hie_plc_lit_rebirth	Odrodzenie
hie_plc_lit_gediminid_legacy	Gediminaiciai Palikimas
hie_plc_lit_amend_golden_liberty	Amended Golden Liberty
hie_plc_lit_pospolite_ruszenie	Pospolite Ruszenie
hie_plc_lit_winged_hussars	Skrzydlata Husaria
hie_plc_lit_magnates	Magnateria
hie_plc_lit_computed_army	Wojsko Komputowe
hie_pol_gaude_mater_polonia	Gaude Mater Polonia
hie_pol_union_of_krewo	Union of Krewo
hie_pol_constitutional_monarchy	Monarchia Stanowa
hie_pol_commonwealth	Rzeczpospolitas
hie_pol_pospolite_ruszenie	Pospolite Ruszenie
hie_pol_winged_hussars	Skrzydlata Husaria
hie_pol_permanent_defense	Obrona Potoczna
hie_mos_elevate_muscovite_metropolitan_patriarch	Elevate Muscovite Metropolitan to Patriarch
hie_mos_ugorschina	Ugorshchina
hie_mos_tsar_vseya_rossii	T'sar Vseya Rossii
hie_mos_zasechnaya_cherta	Zasechnaya Cherta
hie_mos_relentless_push	Relentless Push
hie_mos_samoderzhaviye	Samoderzhaviye
hie_mos_sloboda	Sloboda
hie_nov_ledovoye_poboishche	Ledovoye Poboishche
hie_nov_nogorodckaya_prevaya_letopis	Novgorodskaya Pervaya Letopis.
hie_nov_ushkuyiniks	Ushkuiniks
hie_nov_novgorodian_belka	Novgorodian Belka
hie_nov_veliki_novgorod	Veliky Novgorod
hie_nov_continuation_veche	Continuation of the Veche
hie_nov_zavolochye	Zavolochye
hie_rus_mos_serfdom	Krepostnichestvoh
hie_rus_mos_siberian_frontiers	Siberian Frontiers
hie_rus_mos_third_rome	Trety Rim
hie_rus_mos_conscription_obligation	Voinskaya Povinnost
hie_rus_mos_metropolitan_of_all_rus	Metropolitan of Kiev and All RUS
hie_rus_mos_sloboda	Sloboda
hie_rus_mos_new_order	Polki Novovo Stroya
hie_rus_nov_homeland_trade	Homeland Trading Policies
hie_rus_nov_siberian_frontiers	Siberian Frontiers
hie_rus_nov_cold_water	Kholodnaya Voda
hie_rus_nov_skhariya_the_jew	Zhidovstvuyushchiye
hie_rus_nov_new_ushkuiniks	Reformed Ushkuiniks
hie_rus_nov_window_on_west	Window on the West
hie_rus_nov_veche_of_all_rus	Veche of All RUS
hie_ukr_chornozem	Chornozem
hie_ukr_vissko_zaporozke	Viisko Zaporozke
hie_ukr_siberian_frontiers	Siberian Frontiers
hie_ukr_veliky_kiev	Veliky Kyiv
hie_ukr_metropolitan_of_rus_and_kiev	Metropolitan of Kyiv and All RUS
hie_ukr_kleinody	Kleinody
hie_ukr_bratstvo	Bratstvo
hie_ayu_mahatthai	Krasuang Mahatthai
hie_ayu_chatusadom	Chatusadom
hie_ayu_bunga_emas_dan_perak	Bunga Emas Dan Perak
hie_ayu_floating_rice	Floating Rice
hie_ayu_sakdina	Sakdina
hie_ayu_phrai_conscription	Phrai Conscription
hie_ayu_ban_yipun	Ban Yipun
hie_maj_thalassocracy_mandala	A Thalassocratic Mandala
hie_maj_nagarakretagama	Nagarakretagama
hie_maj_cetbang	Eastern and Western Style Cetbang
hie_maj_palapa_oath	Sumpah Palapa
hie_maj_star_path_navigation	Star Path Navigation
hie_maj_armada	Jong, Malangbang and Kelulu Armadas
hie_maj_partners_with_common_order	Mitreka Satata
hie_msa_suvarnabhumi	Suvarnabhumi
hie_msa_adoption_cetbang	Adoption of the Cetbang
hie_msa_sea_people	Sea People
hie_msa_ilmu_bedil	Ilmu Bedil
hie_msa_bendahara	Bendahara
hie_msa_alam_melayu	Alam Melayu
hie_msa_daulat	Daulat
hie_sia_songkram_yudhahatthi	Songkram Yuddhahatthi
hie_sia_chatusadom	Chatusadom
hie_sia_expell_westerners	Expelling Western Meddlers
hie_sia_floating_rice	Floating Rice
hie_sia_phra_chao_phaendin	Phra Chao Phaendin
hie_sia_golden_age	Golden Age of Ayutthaya
hie_sia_dap_hak	Dap Hak
hie_jap_free_market_guilds	Rakuichi Rakuza
hie_jap_bakuhan	Bakuhan
hie_jap_bushido	Bushido
hie_jap_tanegashima	Tanegashima
hie_jap_red_seal_ships	Shuinsen
hie_jap_terakoya	Terakoya
hie_jap_rice_brokers	Fudasashi
hie_kor_hanguel	Hanguel
hie_kor_hwacha_chongtong	Hwachas and Chongtong
hie_kor_gwageo	Gwageo
hie_kor_samsa	Samsa
hie_kor_righteous_armies	Righteous Armies
hie_kor_geobukseon	Geobukseon
hie_kor_silhak	Silhak
hie_mng_neige	Nèigé
hie_mng_jiubian	Jiubian
hie_mng_haijin	Haijin
hie_mng_barabian_recruits	Barbarian Recruits
hie_mng_ming_porcelain	Ming Porcelain
hie_mng_single_whip_law	Single Whip Law
hie_mng_folangji	Folangji
hie_fra_compagnies_d_ordonnance	Les Compagnies D'Ordonnance
hie_fra_grands_vieux_corps	Les Six Grands Vieux
hie_fra_ordinance_villers_cotterets	L'Ordonnance de Villers-Cotterêts
hie_fra_coureur_des_bois	Coureurs Des Bois
hie_fra_dragonnades	Les Dragonnades
hie_fra_chambres_des_reunions	Les Chambres de Réunions
hie_fra_because_it_is_our_good_pleasure	Car Tel Est Notre Plaisir
hie_bri_black_riders	Black Riders
hie_bri_arthurian_legends	Arthurian Legends
hie_bri_protective_treaties	Protective Treaties
hie_bri_beyond_our_shores	Beyond Our Shores
hie_bri_cooperative_trade_deals	Cooperative Trade Deals
hie_bri_people_sea	People of the Sea
hie_bri_catholicon	Catholicon
hie_bur_order_of_golden_fleece	The Distinguished Order of the Golden Fleece
hie_bur_combined_arms	Students of Warfare
hie_bur_compagnies_d_ordinnance	Les Compagnies D'Ordonnance
hie_bur_chambres_des_comptes	Chambres Des Comptes
hie_bur_estate_general_of_netherlands	Estates General of the Netherlands
hie_bur_great_council_of_mechelen	The Great Council of Mechelen
hie_bur_burgundian_state	L'État Bourguignon
hie_lot_distinguished_order_golden_fleece	The Distinguished Order Of The Golden Fleece
hie_lot_students_warfare	Students Of Warfare
hie_lot_compagnies_ordonnance	Les Compagnies D'Ordonnance
hie_lot_chambres_comptes	Chambres Des Comptes
hie_lot_lotharingian_abbeys	Lotharingian abbeys
hie_lot_ancient_imperial_capital	The Ancient Imperial capital
hie_lot_pax_francia	Pax Francia
hie_aac_acquis_granum	Aquis-Granum
hie_aac_plats_charlemagne	The Plats of charlemagne
hie_aac_dom_aken	The Dom of Aken
hie_aac_walls_aken	The walls of Aken
hie_aac_imperial_capital	The imperial capital
hie_aac_old_limburg	Old Limburg
hie_aac_pax_francia	Pax Francia
hie_als_strasburg_cathedral	Straßburg Cathedral
hie_als_kirchenfabriken	Kirchenfabriken
hie_als_franco_allemanic_melting_pot	Franco-Allemanic Melting Pot
hie_als_printed_word	The Printed Word
hie_als_religious_agreements	Religious Agreements
hie_als_confessio_tetrapolitana	Confessio Tetrapolitana
hie_als_gates_rhine	Gates of the Rhine
hie_anh_allodium	Allodium
hie_anh_many_princes_only_one_princedom	Many princes only one Princedom
hie_anh_wolfgang_confessor	Wolfgang the Confessor
hie_anh_anhalt_militarisation	Anhalt militarisation
hie_anh_adoption_prussian_system	Adoption of the Prussian system
hie_anh_duchy_anhalt	The Duchy of Anhalt
hie_anh_anhalt_constitution	The Anhalt constitution
hie_aug_builders_churches_abbeys	Builders of churches and abbeys
hie_aug_right_coinage	The right of coinage
hie_aug_free_city_augsburg	The free city of Augsburg
hie_aug_encouragement_printing_press	Encouragement of the printing press
hie_aug_patronage_bishops	The patronage bishops
hie_aug_peace_augsburg	The Peace of Augsburg
hie_aug_jesuit_counter_reformation	Jesuit counter-reformation
hie_boh_wagenbbug	Vozová Hradba
hie_boh_sirotci	Sirotci
hie_boh_compacta	Compactata
hie_boh_university_of_prague	Universitatis Carolinae Ferdinandeae
hie_boh_diplomatic_treatise	Tractatus Pacis Toti Christianitati Fiendae
hie_boh_bergordnung	Bergordnung
hie_boh_zrizene_zemske	Zemska Zrizeni
hie_bra_nordmark	Nordmark
hie_bra_pomeranian_wars	The Pomeranian Wars
hie_bra_kammergericht	The Kammergericht
hie_bra_hohenzollern_claims	Claims of the Hohenzollern
hie_bra_berlin_gymnasium	Berlinisches Gymnasium
hie_bra_jachimica_constitutio	Constitutio Joachimica
hie_bra_teuton_influence	Teutonic Influence
hie_bre_bremer_dykes_polders	Bremer dykes and polders
hie_bre_bremer_hansa	Bremer Hansa
hie_bre_food_market_northern_europe	The food market of Northern Europe
hie_bre_bremer_shipyards	Bremer shipyards
hie_bre_bremerhaven	Bremerhaven
hie_bre_fierce_independence	Fierce independence
hie_bre_new_world_trading_port	New world trading port
hie_brg_gallia_belgica	Gallia Belgica
hie_brg_whupper_valley	Whupper Valley: 
hie_brg_united_duchies	United Duchies
hie_brg_via_media	Via Media
hie_brg_uniting_rhine	Uniting the Rhine
hie_brg_imperial_honour	Imperial Honour
hie_brg_early_industrialisation	Early industrialization
hie_cob_veste_coburg	Veste Coburg
hie_cob_jewish_district	Jewish District
hie_cob_luther_study	Luther's Study
hie_cob_gymnasium_casimirianum	Gymnasium Casimirianum
hie_cob_schloss_ehrenburg	Schloss Ehrenburg
hie_cob_art_diplomacy	The Art of Diplomacy
hie_cob_dynasty_many_crowns	Dynasty of many crowns
hie_dtt_geestland	Geestland
hie_dtt_wrecking	Wrecking
hie_dtt_the_joke_that_is_aristocracy	The joke that is aristocracy
hie_dtt_come_and_get_it	“Come and get it”
hie_dtt_containing_feudalism	Containing feudalism
hie_dtt_peaceful_front_yard	A peaceful front yard
hie_dtt_our_feudes	Our feudes
hie_fkn_imperial_lineages	Imperial Lineages
hie_fkn_inextinguishable_title	Inextinguishable Title
hie_fkn_knights_franconian_orders	Knights of the Franconian Orders
hie_fkn_curb_raubritter	Curb the Raubritter
hie_fkn_franconian_reformation	Franconian Reformation
hie_fkn_nichtabgeschlossenes_gebiet	Nichtabgeschlossenes Gebiet
hie_fkn_franconian_brewing_expterise	Franconian Brewing Expertise
hie_frn_ruins_nida	The Ruins of Nida
hie_frn_council_frankfurt	Council of Frankfurt
hie_frn_frankfurter_messe	Frankfurter Messe
hie_frn_we_are_capital_once_more	We are the capital once more
hie_frn_frankfurt_exchange	The Frankfurt Exchange
hie_frn_neutrality	Neutrality
hie_frn_beating_heart_german_nation	The Beating Heart of the german nation
hie_ger_regierungsbezirke	Regierungsbezirke
hie_ger_divided_faith_united_purpose	Divided in Faith, United in Purpose
hie_ger_real_union	Real Union
hie_ger_stechschritt	Der Stechschritt
hie_ger_standesherren	Standesherren
hie_ger_wartburgfest	Wartburgfest
hie_ger_zollverein	Zollverein
hie_ger_schwarz_rod_gold	Schwarz, Rod, Gold
hie_ger_national_assembly	National Assembly
hie_ger_unification_of_germania	Unification of Germania
hie_ger_bundesrepublik	Bundesrepublik
hie_ger_pressefreiheit_und_fressefreiheit	Pressefreiheit und Fressefreiheit
hie_ger_people_army	The People's Army
hie_ger_reichsflotte	Reichsflotte
hie_gnv_great_council_geneva	Great Council of Geneva
hie_gnv_assembly_halberds	Assembly of the Halberds
hie_gnv_protestant_rome	Protestant Rome
hie_gnv_genevan_psalter	Genevan Psalter
hie_gnv_wathmaking_city	The Watchmaking City
hie_gnv_early_welfare_system	Early Welfare System
hie_gnv_citoyens_geneve	Citoyens de Geneve
hie_hab_felix_austria	Felix Austria
hie_hab_fugger_banking	Fugger Banking
hie_hab_pietas_austriacae	Pietas Austriacae
hie_hab_hofkriegsrat	Hofkriegsrat
hie_hab_militargrenze	Militargrenze
hie_hab_neuafteilung_der_erblande	Neuaufteilung Der Erblande
