REB	Rebels
ALS	Strasbourg
AMG	Armagnac
AUV	Auvergne
AVI	Avignon
BOU	Bourbonnais
BRI	Brittany
BUR	Burgundy
CHP	Champagne
COR	Corsica
DAU	Dauphine
FOI	Foix
FRA	France
FRA_ideas_2	Revolutionary France
GUY	Gascony
NEV	Nevers
NRM	Normandy
ORL	Orleans
PIC	Picardy
PRO	Provence
SPI	Sardinia-Piedmont
TOU	Toulouse
BER	Berry
AAC	Aachen
ANH	Anhalt
ANS	Ansbach
AUG	Augsburg
BAD	Baden
BAV	Bavaria
BOH	Bohemia
BRA	Brandenburg
BRE	Bremen
BRU	Brunswick
EFR	East Frisia
FRN	Frankfurt
GER	Germany
HAB	Austria
HAM	Hamburg
HAN	Hanover
HES	Hesse
HLR	Holy Roman Empire
KLE	Cleves
KOL	Cologne
LAU	Saxe-Lauenburg
LOR	Lorraine
LUN	Lüneburg
MAG	Magdeburg
MAI	Mainz
MEI	Meissen
MKL	Mecklenburg
MUN	Münster
MVA	Moravia
OLD	Oldenburg
PAL	The Palatinate
POM	Pomerania
SAX	Saxony
SIL	Silesia
SLZ	Salzburg
STY	Styria
SWI	Switzerland
THU	Thuringia
TIR	Tirol
TRI	Trier
ULM	Ulm
WBG	Wurzburg
WES	Westphalia
WUR	Wurttemberg
NUM	Nuremberg
MEM	Memmingen
VER	Verden
NSA	Nassau
RVA	Dortmund
DTT	Dithmarschen
ARA	Aragon
CAS	Castille
CAT	Catalonia
GRA	Granada
NAV	Navarra
POR	Portugal
SPA	Spain
GAL	Galicia
LON	León
ADU	Andalusia
VAL	Valencia
ASU	Asturias
MJO	Majorca
AQU	Aquileia
ETR	Etruria
FER	Ferrara
GEN	Genoa
ITA	Italy
MAN	Mantua
MLO	Milan
MOD	Modena
NAP	Naples
PAP	The Papal State
PAR	Parma
PIS	Pisa
SAR	Sardinia
SAV	Savoy
SIC	Sicily
SIE	Siena
TUS	Tuscany
URB	Urbino
VEN	Venice
MFA	Montferrat
LUC	Lucca
LAN	Florence
JAI	Malta
BRB	Brabant
FLA	Flanders
FRI	Friesland
GEL	Gelre
HAI	Hainaut
HOL	Holland
LIE	Liege
LUX	Luxembourg
NED	Netherlands
UTR	Utrecht
ARM	Armenia
AST	Astrakhan
CRI	Crimea
GEO	Georgia
KAZ	Kazan
MOS	Muscovy
NOV	Novgorod
PSK	Pskov
QAS	Qasim
RUS	Russia
RYA	Ryazan
TVE	Tver
UKR	Ruthenia
YAR	Yaroslavl
ZAZ	Zaporozhie
NOG	Nogai
SIB	Sibir
PLT	Polotsk
PRM	Perm
FEO	Theodoro
BSH	Bashkiria
BLO	Beloozero
RSO	Rostov
GOL	Great Horde
GLH	Golden Horde
ADE	Aden
ALH	Haasa
ANZ	Anizah
ARB	Arabia
ARD	Ardalan
BHT	Soran
DAW	Dawasir
ERE	Eretna
FAD	Fadl
GRM	Germiyan
HDR	Hadramut
HED	Hejaz
LEB	Lebanon
MAK	Makuria
MDA	Medina
MFL	Mikhlaf
MHR	Mahra
NAJ	Najd
NJR	Najran
OMA	Oman
RAS	Rassids
SHM	Shammar
SHR	Sharjah
SRV	Shirvan
YAS	Yas
YEM	Yemen
HSN	Hisn Kayfa
BTL	Bitlis
AKK	Aq Qoyunlu
AYD	Aydin
CND	Candar
DUL	Dulkadir
IRQ	Iraq
KAR	Karaman
SYR	Syria
TRE	Trebizond
SRU	Saruhan
MEN	Mentese
RAM	Ramazan
AVR	Avaria
MLK	Karabakh
SME	Samtskhe
ARL	Ardabil
MSY	Mushasha
RUM	Rûm
ALG	Algiers
FEZ	Fez
MAM	Mamluks
MOR	Morocco
TRP	Tripoli
TUN	Tunis
EGY	Egypt
KBA	Kabylia
TFL	Tafilalt
SOS	Sus
TLC	Tlemcen
TGT	Touggourt
GHD	Djerid
FZA	Fezzan
MZB	Mzab
SLE	Salé
TET	Tétouan
MRK	Marrakesh
KZH	Kazakh
KHI	Khiva
SHY	Uzbek
KOK	Ferghana
BUK	Bukhara
AFG	Afghanistan
KHO	Khorasan
PER	Persia
QAR	Qara Qoyunlu
TIM	Timurids
TRS	Transoxiana
KRY	Gilan
CIR	Circassia
GAZ	Gazikumukh
IME	Imereti
TAB	Mazandaran
ORM	Hormuz
LRI	Luristan
SIS	Sistan
BPI	Biapas
FRS	Fars
KRM	Kerman
YZD	Yazd
ISF	Isfahan
TBR	Tabriz
BSR	Basra
MGR	Maregheh
QOM	Ajam
AZT	Aztec
CHE	Cherokee
CHM	Chimu
CRE	Creek
HUR	Huron
INC	Inca
IRO	Iroquois
MAY	Maya
SHA	Shawnee
ZAP	Zapotec
ASH	Ashanti
BEN	Benin
ETH	Ethiopia
KON	Kongo
MAL	Mali
NUB	Funj
SON	Songhai
ZAN	Kilwa
ZIM	Mutapa
ADA	Adal
HAU	Hausa
KBO	Kanem Bornu
LOA	Loango
OYO	Oyo
SOF	Segu
SOK	Sokoto
JOL	Jolof
SFA	Sofala
MBA	Mombasa
MLI	Malindi
AJU	Ajuuraan
MDI	Mogadishu
ENA	Ennarea
WGD	Wagadugu
ZND	Zandoma
GUR	Fada N'gourma
TEN	Tenkodogo
OGD	Ogaadeen
ZUL	Zulu
SOM	Somalia
AKS	Aksum
GZI	Zimbabwe
NBI	Nubia
RZI	Rozwi Empire
KIT	Kitara
WAD	Wadai
AFA	Aussa
ALO	Alodia
DAR	Darfur
GLE	Geledi
HAR	Harar
HOB	Hobyo
KAF	Kaffa
MED	Medri Bahri
MJE	Majeerteen
MRE	Marehan
PTE	Pate
WAR	Warsangali
BTI	Semien
BEJ	Beja
JIM	Jimma
WLY	Welayta
DAM	Damot
HDY	Hadiya
SOA	Shewa
JJI	Janjiro
ABB	Dongola
TYO	Tyo
SYO	Soyo
KSJ	Kasanje
LUB	Luba
LND	Lunda
CKW	Chokwe
KIK	Kikondja
KZB	Kazembe
YAK	Yaka
KLD	Kalundwe
KUB	Kuba
RWA	Rwanda
BUU	Burundi
BUG	Buganda
NKO	Nkore
KRW	Karagwe
BNY	Bunyoro
BSG	Busoga
UBH	Buha
MRA	Maravi
LDU	Lundu
TBK	Tumbuka
MKU	Makua
RZW	Butua
MIR	Imerina
SKA	Sakalava
BTS	Betsimisaraka
MFY	Mahafaly
ANT	Antemoro
ANN	Annam
ARK	Arakan
ATJ	Aceh
AYU	Ayutthaya
BLI	Bali
BAN	Banten
BEI	Brunei
CHA	Champa
CHG	Chagatai
CHK	Champasak
DAI	Dai Viet
JAP	Japan
AMA	Amago
ASA	Asakura
CSK	Chosokabe
DTE	Date
HJO	Hojo
HSK	Hosokawa
HTK	Hatakeyama
IKE	Ikeda
IMG	Imagawa
MAE	Maeda
MRI	Mori
ODA	Oda
OTM	Otomo
OUC	Ouchi
SBA	Shiba
SMZ	Shimazu
TKD	Takeda
TKG	Tokugawa
UES	Uesugi
YMN	Yamana
RFR	Nanbu
ASK	Ashikaga
KTB	Kitabatake
ANU	Ainu
AKM	Akamatsu
AKT	Ando
CBA	Chiba
ISK	Isshiki
ITO	Ito
KKC	Kikuchi
KNO	Kono
OGS	Ogasawara
SHN	Shoni
STK	Satake
TKI	Toki
UTN	Utsunomiya
TTI	Tsutsui
KHA	Mongolia
KHM	Khmer
KOR	Korea
LNA	Lan Na
LUA	Luang Prabang
LXA	Lan Xang
MAJ	Majapahit
MCH	Manchu
MKS	Makassar
MLC	Malacca
MNG	Ming
MTR	Mataram
OIR	Oirat
PAT	Pattani
PEG	Pegu
QNG	Qing
RYU	Ryukyu
SST	Shan
SUK	Sukhothai
SUL	Sulu
TAU	Taungu
TIB	Tibet
TOK	Tonkin
VIE	Vientiane
CZH	Zhou
CSH	Shun
CXI	Xi
YUA	Yuan
FRM	Tungning
ILK	Ilkhanate
KLM	Kalmyk
MGE	Mongol Empire
SOO	So
NVK	Nivkh
SOL	Solon
EJZ	Donghai
NHX	Udege
MYR	Yeren
MHX	Haixi
MJZ	Jianzhou
KRC	Korchin
KLK	Khalkha
HMI	Kara Del
ZUN	Dzungar
KAS	Yarkand
CHH	Chahar
KSD	Khoshuud
SYG	Sarig Yogir
UTS	Tsang
KAM	Kham
GUG	Guge
PHA	U
CDL	Dali
CYI	Yi
CMI	Miao
MIN	Min
YUE	Yue
SHU	Shu
NNG	Ning
CHC	Chu
TNG	Tang
WUU	Wu
QIC	Qi
YAN	Yan
JIN	Jin
LNG	Liang
QIN	Qin
HUA	Huai
CGS	Changsheng
BAL	Baluchistan
BNG	Bengal
BIJ	Bijapur
BAH	Bahmanis
DLH	Delhi
GOC	Golkonda
DEC	Deccan
MAR	Marathas
MUG	Mughals
MYS	Mysore
VIJ	Vijayanagar
AHM	Ahmednagar
ASS	Assam
GUJ	Gujarat
JNP	Jaunpur
MAD	Madurai
MLW	Malwa
MAW	Marwar
MER	Mewar
MUL	Multan
NAG	Nagpur
NPL	Nepal
ORI	Orissa
PUN	Punjab
SND	Sindh
BRR	Berar
JAN	Jangladesh
KRK	Carnatic
GDW	Garha
GRJ	Garjat
GWA	Gwalior
DHU	Dhundhar
KSH	Kashmir
KLN	Keladi
KHD	Khandesh
ODH	Oudh
VND	Venad
MAB	Calicut
MEW	Mewat
BDA	Baroda
BST	Bastar
BHU	Bhutan
BND	Bundelkhand
CEY	Kotte
JSL	Jaisalmer
KAC	Kachar
KMT	Koch
KGR	Kangra
KAT	Kutch
KOC	Kochin
MLB	Manipur
HAD	Hadoti
NGA	Nagaur
RMP	Rohilkhand
LDK	Ladakh
BGL	Baghelkhand
JFN	Jaffna
PTA	Patiala
GHR	Garhwal
CHD	Chanda
NGP	Jharkhand
JAJ	Habsan
TRT	Tirhut
CMP	Rewa Kantha
BGA	Baglana
TPR	Tripura
SDY	Sadiya
BHA	Bharat
YOR	Andhra
DGL	Maldives
MBL	Bishnupur
SKK	Sikkim
IDR	Idar
JLV	Jhalavad
PTL	Palitana
NVR	Navanagar
RJK	Rajkot
JGD	Junagarh
PRB	Porbandar
PAN	Kalinjar
KLP	Kalpi
SBP	Sambalpur
PTT	Patna
RTT	Ratanpur
KLH	Kalahandi
KJH	Keonhjar
PRD	Parlakhimidi
JPR	Jeypore
SRG	Surguja
KND	Kandy
TLG	Telingana
KLT	Kolathunad
DNG	Dang
DTI	Doti
GRK	Gorkha
JML	Jumla
LWA	Limbuwan
MKP	Makwanpur
SRM	Sirmur
KTU	Kathmandu
KMN	Kumaon
GNG	Gingee
TNJ	Tanjore
SRH	Sirhind
RJP	Rajputana
BAR	Bar
HSA	Lübeck
FU2	Hansa
SMO	Smolensk
NZH	Nizhny Novgorod
KOJ	Jerusalem
MSA	Malaya
HIN	Hindustan
ABE	Abenaki
APA	Apache
ASI	Assiniboine
BLA	Blackfoot
CAD	Caddo
CHI	Chickasaw
CHO	Choctaw
CHY	Cheyenne
COM	Comanche
FOX	Fox
ILL	Illiniwek
LEN	Lenape
MAH	Mahican
MIK	Mikmaq
MMI	Miami
NAH	Navajo
OJI	Ojibwe
OSA	Osage
OTT	Ottawa
PAW	Pawnee
PEQ	Pequot
PIM	Pima
POT	Potawatomi
POW	Powhatan
PUE	Pueblo
SHO	Shoshone
SIO	Sioux
SUS	Susquehannock
WCR	Cree
AIR	Air
BON	Bonoman
DAH	Dahomey
DGB	Dagbon
FUL	Fulo
JNN	Jenné
KAN	Kano
KBU	Kaabu
KNG	Kong
KTS	Katsina
MSI	Mossi
NUP	Nupe
TMB	Timbuktu
YAO	Yao
YAT	Yatenga
ZAF	Macina
ZZZ	Zazzau
NDO	Ndongo
AVA	Ava
HSE	Hsenwi
JOH	Johor
KED	Kedah
LIG	Ligor
MPH	Muang Phuan
MYA	Mong Yang
PRK	Perak
MMA	Mong Mao
MKA	Mong Kawng
MPA	Mong Pai
MNI	Mong Nai
KAL	Kale
HSI	Hsipaw
BPR	Prome
CHU	Chukchi
HOD	Khodynt
CHV	Chavchuveny
KMC	Kamchadals
BRT	Buryatia
ARP	Arapaho
CLM	Colima
CNK	Chinook
COC	Cocomes
HDA	Haida
ITZ	Itza
KIC	Kiche
KIO	Kiowa
MIX	Mixtec
SAL	Salish
TAR	Tarascan
TLA	Tlapanec
TLX	Tlaxcala
TOT	Totonac
WIC	Wichita
XIU	Xiu
BLM	Blambangan
BTN	Buton
CRB	Cirebon
DMK	Demak
PGR	Pagarruyung
PLB	Palembang
PSA	Pasai
SAK	Siak
SUN	Sunda
KUT	Kutai
BNJ	Banjar
LFA	Lanfang
LNO	Lanao
LUW	Luwu
MGD	Maguindanao
TER	Ternate
TID	Tidore
MAS	Madyas
PGS	Pangasinan
TDO	Tondo
MNA	Maynila
CEB	Cebu
BTU	Butuan
CSU	Cusco
CCQ	Calchaqui
MPC	Mapuche
MCA	Muisca
QTO	Quito
CJA	Cajamarca
HJA	Huyla
PTG	Potiguara
TPQ	Tupiniquim
TPA	Tupinamba
TUA	Tapuia
GUA	Guarani
CUA	Charrua
WKA	Wanka
CYA	Chachapoya
CLA	Colla
CRA	Charca
PCJ	Pacajes
ARW	Arawak
CAB	Carib
ICM	Ichma
MAT	Matlatzinca
COI	Coixtlahuaca
TEO	Teotitlan
XAL	Xalisco
GAM	Guamar
HST	Huastec
CCM	Chichimeca
OTO	Otomi
YOK	Yokotan
LAC	Tzotzil
KAQ	Kaqchikel
CTM	Chactemal
KER	Zia
ZNI	Zuni
MSC	Mescalero
LIP	Lipan
CHT	Chorti
MIS	Miskito
TAI	Tairona
CNP	Can Pech
TON	Tonala
YAQ	Yaqui
YKT	Yokuts
NSS	New Providence
PRY	Port Royal
TOR	Tortuga
LIB	Libertatia
UBV	Munich
LBV	Landshut
ING	Ingolstadt
PSS	Passau
MBZ	Bregenz
KNZ	Konstanz
ROT	Rothenburg
BYT	Bayreuth
REG	Regensburg
GNV	Geneva
TTL	Three Leagues
OPL	Opole
GLG	Glogow
BLG	Bologna
PDV	Padua
SZO	Saluzzo
SPL	Spoleto
WOL	Wolgast
STE	Stettin
GOS	Goslar
SOR	Lusatia
RUG	Rügen
CLI	Cilli
HRZ	Herzegovina
TNT	Trent
BRG	Berg
MLH	Mulhouse
BAM	Bamberg
RUP	Ruppin
LPP	Lippe
PAD	Paderborn
CLB	Calenberg
DWT	Donauwörth
OSN	Osnabrück
VRN	Verona
COB	Coburg
LOT	Lotharingia
PGA	Perugia
TTS	Two Sicilies
FKN	Franconia
SWA	Swabia
BNE	Bone
BEU	Berau
SMB	Sambas
BRS	Barus
DLI	Deli
JMB	Jambi
PAH	Pahang
KEL	Kelantan
IND	Indrapura
JAR	Jarai
RHA	Rhade
KOH	Koho
SIA	Siam
TIW	Tiwi
LAR	Larrakia
YOL	Yolngu
YNU	Yanuwa
AWN	Awngthim
GMI	Kamilaroi
MIA	Mianjin
EOR	Eora
KUL	Kulin
KAU	Kaurna
PLW	Palawa
WRU	Wurundjeri
NOO	Nyoongah
MLG	Malgana
AOT	Aotearoa
MAA	Ngati Awa
TAN	Tainui
TAK	Ngati Kahungunu
TNK	Ngati Toa
TEA	Ngati Ranginui
TTT	Ngapuhi
WAI	Waitaha
UHW	Hawai'i
HAW	Hawai'i
MAU	Maui
OAH	O'ahu
KAA	Kaua'i
TOG	Tonga
SAM	Samoa
VIT	Viti
VIL	Viti Levu
VNL	Vanua Levu
LAI	Lau
ALT	Altamaha
ICH	Ichisi
COF	Cofitachequi
JOA	Joara
ETO	Etowah
SAT	Satapo
CIA	Chiaha
COO	Coosa
ABI	Abihka
COW	Coweta
NTZ	Natchez
CAQ	Casqui
PCH	Pacaha
QUI	Quizquiz
CCA	Chisca
ATA	Atahachi
KSI	Kasihta
OEO	Oneota
ANL	Anilco
NTC	Natchitoches
HNI	Hasinai
MOH	Mohawk
ONE	Oneida
ONO	Onondaga
CAY	Cayuga
SEN	Seneca
TAH	Tahontaenrat
ATT	Attignawantan
AGG	Attigneenongnahac
ATW	Attiwandaron
ARN	Arendaronon
TIO	Tionontate
OSH	Osheaga
STA	Stadacona
ERI	Erie
WEN	Wenro
TSC	Tuscarora
OHK	Ohkay Owingeh
ISL	Isleta
ACO	Acoma
CAO	Cahokia
PEO	Peoria
KSK	Kaskaskia
PEN	Penobscot
MLS	Maliseet
NEH	Nehiyaw
NAK	Nakawe
HWK	Hathawekela
CLG	Chalaghawtha
KSP	Kispoko
MSG	Mississage
WCY	Wichiyena
LAK	Lakota
INN	Innu
WAM	Wampanoag
AGQ	Algonquin
JMN	Jan Mayen
ROM	Roman Empire
SYN	Synthetics
ISR	Israel

NED_DUT	Netherlands-Dutch
NED_FRI	Netherlands-Frisian
NED_FLE	Netherlands-Flemish
RUS_MOS	Russia-Muscovy
RUS_NOV	Russia-Novgorod
COLONIAL_BRI	Colonial-British
COLONIAL_DUT	Colonial-Dutch
COLONIAL_FRE	Colonial-French
COLONIAL_LAT	Colonial-Latin
COLONIAL_POR	Colonial-Portuguese
COLONIAL_SPA	Colonial-Spanish
GRE_GRE	Greece-Greek
GRE_LAT	Greece-Latin
KOJ_KNI	Jerusalem-Knights
KOJ_LAT	Jerusalem-Latin
HLR_BUR	Holy Roman Empire-Burgundy
HLR_BOH	Holy Roman Empire-Bohemia
HLR_HAB	Holy Roman Empire-Habsburg
HLR_LAT	Holy Roman Empire-Latin
GER_REV	Germany-Revolutionary
