gme_cappadocia	Cappadocia
gme_universita_bologna	Università di Bologna
gme_beomeosa	Beomeosa
gme_dol_hareunbang	Dol Hareubang
gme_dosan_seowon	Dosan Seowon
gme_five_grand_palaces	Five Grand Palaces
gme_goguryeyo_tombs	Goguryeyo Tombs
gme_hwaseong_fortress	Hwaseong Fortress
gme_jinnamgwan_hall	Jinnamgwan Hall
gme_mt_paekdu	Mt Paekdu
gme_royal_tombs_joseon	Royal Tombs of Joseon
gme_seokguram	Seokguram
gme_sungkyunkwan	Sungkyunkwan
gme_tripitaka_koreana	Tripitaka Koreana
gme_binnenhof	Binnenhof
gme_bishop_palace	Bishop's Palace
gme_bruges_city_centre	Bruges City Centre
gme_domkerk	Domkerk
gme_grote_raad_mechelen	Grote Raad der Mechelen
gme_het_gravensteen	Het Gravensteen
gme_kasteel_de_haar	Kasteel De Haar
gme_leiden_university	Leiden University
gme_old_leuven_university	Old Leuven University
gme_paleis_koudenberg	Paleis op de Koudenberg
gme_sint_pietersabdij	Sint-Pietersabdij
gme_the_bock	The Bock
gme_alkarak_castle	Kerak Castle
gme_al_mustansiriya	Al-Mustansiriya
gme_cave_patriarch	Cave of the Patriarchs
gme_citadel_aleppo	Citadel of Aleppo
gme_great_mosque_aleppo	Great Mosque of Aleppo
gme_qasr_al_azm	Qasr al-Azm
gme_shaf_ve_yativ_synagogue	Shaf ve'Yativ Synagogue
gme_tomb_ezekiel	Tomb of Ezekiel
gme_umayyad_mosque	Umayyad Mosque
gme_alamliq	Almaliq
gme_genghis_khan_golden_tent	Genghis Khan's Golden Tent
gme_mausoleum_genghis_khan	Mausoleum of Genghis Khan
gme_yili_general_government	Yili General Government
gme_indian_god_rock	Indian God Rock
gme_chengde_mountain_resort	Chengde Mountain Resort
gme_governor_office_of_zhili	Governor Office of Zhili
gme_mogao_grottoes	Mogao Grottoes
gme_temple_of_heaven	Temple of Heaven
gme_thirteen_ming_tombs	Thirteen Ming Tombs
gme_yungang_grottoes	Yungang Grottoes
gme_charles_university	Charles University
gme_externsteine	Externsteine
gme_karlovy_vary	Karlovy Vary
gme_neuhaus_palace	Neuhaus Palace
gme_reichstag	Reichstag
gme_royal_mint_jachymov	Royal Mint
gme_schloss_oldenburg	Schloss Oldenburg
gme_schnoor_district	Schnoor District
gme_semper_oper	Semper Oper
gme_wenceslas_square	Wenceslas Square
gme_willhelmsburg	Willhelmsburg
gme_agha_bozorg_mosque	Agha Bozorg Mosque
gme_bazaar_tabriz	Bazaar of Tabriz
gme_behistun_inscription	Behistun Inscription
gme_chaharbagh_school	Chaharbagh School
gme_golestan_palace	Golestan Palace
gme_gonbad_qabus_tower	Gonbad-e Qabus Tower
gme_maragheh_observatory	Maragheh Observatory
gme_sheikh_safi	Sheikh Safi al-Din
gme_towers_silence	Towers of Silence
gme_vank_cathedral	Vank Cathedral
gme_cathedral_poznan	Cathedral of Poznan
gme_jagielon_university	Jagiellonian University
gme_lazienki_park	Lazienki Park
gme_saint_mary_basilica	Saint Mary's Basilica
gme_wawel	Wawel Castle
gme_zamosc_city	Zamosc City
gme_bakhchisaray_palace	Bakhchisaray Palace
gme_bolshoi_theatre	Bolshoi Theatre
gme_petersburg_admiralty	Admiralty
gme_peterhof_palace	Peterhof Palace
gme_brotherhood_school	Brotherhood School
gme_mir_castle	Mir Castle
gme_djinguereber_mosque	Djinguereber Mosque
gme_tomb_askia	Tomb of Askia
gme_classical_gardens_suzhou	Classical Gardens of Suzhou
gme_donglin_academy	Donglin Academy
gme_igreja_madre_deus	Igreja da Madre de Deus
gme_jingdezhen_imperial_kiln_factory	Jingdezhen Imperial Kiln Factory
gme_quanzhou_port	Quanzou Port
gme_shi_bo_si	Shi Bo Si
gme_zhaozhou_bridge	Zhaozhou Bridge
gme_bundeshaus	Bundeshaus
gme_chillon_castle	Chillon Castle
gme_college_geneve	College de Genève
gme_heidelberg	Heidelberg Gardens
gme_hofburg	Hofburg
gme_neuschwanstein_castle	Neuschwanstein Castle
gme_stephansdom	Stephansdom
gme_stone_bridge_regensburg	Stone Bridge of Regensburg
gme_university_graz	University of Graz
gme_mount_kailash	Mount Kailash
gme_potala_palace	Potala Palace
gme_leshan_giant_buddha	Leshan Giant Buddha
