hlr_imperial_throne	The Imperial Throne
liberty_egalite_fraternity	Liberté, Égalité, Fraternité
millets	Kanunnames
ghazi	Ghazi
timariot_system	Timar System
autonmous_pashas	Autonomous Pashas
lawcode_of_suleiman_01	The Law code of Suleiman
tulip_period	Tulip Period
imperial_school_of_naval_engineering	Found the Imperial School of Naval Engineering
FER_papal	Papal Recognition
FER_culture	Center of Culture
FER_alfonso	Alfonso I's Reforms
FER_margrave_of_este	Margraves of Este
FER_resisting_venice	Resisting Venetian Control
FER_este_castle	Este Castle
FER_ferraran_arsenal	The Ferraran Arsenal
URB_italian_wars	The Italian Wars
URB_condot_kings	Condottiere Kings
URB_ducal_palace	The Ducal Palace of Urbino
URB_humanist_court	A Humanist Court
URB_book_of_courtier	The Book of the Courtier
URB_papal_loyalty	Papal Loyalty
URB_light_of_italy	The Light of Italy
BLG_etruscan	Etruscan Origins
BLG_bentivoglio	Bentivoglio Family
BLG_papal_rebellion	Rebellion Against the Papacy
BLG_la_grassa	La Grassa
BLG_la_rossa	La Rossa
BLG_la_turrita	La Turrita
BLG_la_dotta	La Dotta
MAN_free_city	Free Imperial City of Mantua
MAN_studiolo	The Countess's Studiolo
MAN_noble_clergy	Noble Clergymen
MAN_walls	Gonzaga's Walls
MAN_soldiers	Soldiers for Protection
MAN_royal_ties	Mantuan Royal Ties
MAN_mercenary_princes	Mercenary Princes
PGA_herculanus	Saint Herculanus
PGA_umbrian_hegemony	Umbrian Hegemony
PGA_five_conclaves	Meeting of the Five Conclaves
PGA_signoria	Perugian Signoria
PGA_heartbeat_of_christianity	Heartbeat of Christianity
PGA_war_of_eight_saints	The War of the Eight Saints
PGA_baglioni_dream	The Baglioni Dream
SZO_golden_age	The Saluzzo Golden Age
SZO_rich_mountain	The Rich Mountains of Saluzzo
SZO_marquisate	Marquisate
SZO_alpine_engineering	Alpine Engineering
SZO_key_to_italy	The Key to the House of Italy
SZO_chiesa_san_giovanni	Chiesa San Giovanni
SZO_mint	The Marquis Mint
MFA_kings_and_emperors	Cousins to Kings and Emperors
MFA_fertile_mountain	The Rich and Fertile Mountain
MFA_frontier	The Italian Frontier
MFA_savoyard_loyalty	Savoyard Loyalty
MFA_apennine	Apennine Campaigns
MFA_crossroads_of_powers	Crossroad of Powers
MFA_byzantine_claimants	Last Claimants of Byzantium
SIE_council_priori	The Council of Priori
SIE_lordship	Siena Lordship
SIE_bank	The Bank of Siena
SIE_perseverance	Sienese Perseverance
SIE_artists	Sienese School of Painting
SIE_saints_of_siena	The Saints of Siena
SIE_peoples_republic	The People's Republic
LUC_mending_schisms	Mending the Papal Schisms
LUC_libertas	Libertas!
LUC_draining_the_lake	Draining Lago di Bientina
LUC_naval_Ambition	Luccan Naval Ambition
LUC_captain_of_people	The Captain of the People
LUC_black_party	The Black Party
LUC_jacobin_state	The Jacobin State of Lucca
VRN_three_households	Three Households Alike in Dignity
VRN_fair_verona	In Fair Verona
VRN_ancient_grudge	Ancient Grudge
VRN_civil_blood_and_civil_hands	Civil Blood and Civil Hands
VRN_ending_the_strife	Ending the Strife
VRN_some_shall_be_punished	Some Shall Be Pardoned, Some Punished
VRN_a_tale_of_woe	For Never Was There a Tale of More Woe
venetian_arsenal	Venetian Arsenal
printing_industry	Printing Industry
stato_da_mar	Stato da Màr
state_inquisition	Found the State Inquisition
conscription	Naval Conscription
defend_the_law	Defend the Law
provveditori_ai_beni_inculti	Found the provveditori ai beni inculti
teutonic_legacy	Legacy of the Teutonic Knights
soldier_king	The Soldier-King of Prussia
army_professionalism	Army Professionalism
noble_cadets	Noble Cadets
goose_step	The Goose Step
regimental_cantons	Regimental Cantons
religious_toleration	Religious Toleration
northern_march	Northern March
kammergericht	Found the Kammergericht
divided_estates	Divide the Estates
bra_pomeranian_wars	Pomeranian Wars
seat_of_the_old_emperors	Seat of the Old Emperors
iron_tooth	Iron Tooth
margrave_council	Geheimer Rat für die Kurmark
legacy_of_the_navigator	Legacy of the Navigator
afonsine_ordinances	Afonsine Ordinance
case_de_india	Feitorias
land_before_faith	Land Before Faith
the_bandeirantes	Encourage the Bandeirantes
royal_absolutism	Royal Absolutism
por_royal_military_academy	Royal Academy of Fortification, Artillery and Drawing
folwark_system	Promote the Folwark System
nihil_novi	Nihil Novi
peichota_wybraniecka	Piechota Wybraniecka
winged_hussars	Winged Hussars
wojsko_komputoe	Wojsko Komputowe
foreign_section	Found the Foreign section
focus_on_field_defences	Focus on Field Defenses
imperial_Ambition	Imperial Ambition
military_border	Military Frontier
fugger_banks	Fugger Banking
habsburg_dominance	Habsburg Dominance
edict_of_restitution	Edict of Restitution
austrian_court	Austrian Court
hofkriegsrat	Hofkriegsrat
nine_garrisons_of_the_great_wall	Nine Garrisons of The Great Wall
revived_three_grand_divisions	Revive the Three Grand Divisions
inward_perfection	Inward Perfection
yellow_river_dykes	Repair the Yellow River Dykes 
salt_monopoly	Restore the Salt Monopoly
single_whip_law	Single Whip Law
the_red_cannon	The Red Cannon
the_qizilbash	The Qizilbash
persian_rug_production	Encourage Persian Rug Production
the_ghulams	Found the Ghulams
improved_silk_road	Improve the Silk Road
encouraged_art	Encourage Art
promotion_of_irrigation	Promotion of Irrigation
increased_crown_lands	Increase the Crown Lands
golden_fleece	The Order of the Golden Fleece
compagnies_ordonnance	The Compagnies d'Ordonnance
bur_estates_general	Promote the Estates General
reform_of_feudal_army	Reform of the Feudal Army
integrated_towns	Integrate the Towns in the Estates General
freedom_of_worship	Allow Freedom of Worship
bur_regimental_system	Create the Regimental System
reunited_genoa	Reuniting the Nation
lessons_of_chiogga	The Lessons of Chioggia
genoese_trade	Rebuilding Genoese Trade
the_genoese_arsenal	Build the Genoese Arsenal
overhauled_bureaucracy	Overhaul the Bureaucracy
the_office_of_grand_admiral	Setup the Office of Grand Admiral 
standardisation_of_designs	Standardization of Designs
break_the_black_douglas	Break the Black Douglas
modernised_royal_scots_navy	Modernize the Royal Scots Navy
reign_in_the_clans	Rein in the Clans
comets	Comets?
royal_revenue	Tighten up Royal Revenue
basilikon_doron	Basilikon Doron
act_of_revocation	Pass the Act of Revocation
hun_renaissanse_knowledge	A Renaissance Prince
bulwark_of_christianity	Bulwark of Christianity
found_the_black_army	Found the Black Army
reformed_coinage	Reformed Coinage
curtailed_peasantry	Curtail the Freedom of the Peasantry
strengthened_towns	Strengthen the Towns
hungarian_estates_general	Create the Estates General
jap_unification_under_the_emperor	Unification under the Emperor
reformed_land_holding	Reformed Land Holding
jap_modernization	Modernization
jap_maritime_legacy	Maritime Legacy
jap_land_of_the_rising_sun	Land of the Rising Sun
jap_kaitakudan	Kaitakudan
jap_great_power_diplomacy	Great Power Diplomacy
red_sea_trade	Red Sea Trade
monuments_to_greatness	Monuments to our Greatness
purchase_new_mamelukes	Purchase New Mamluks
mam_army_reform	Reform of the Army 
reform_fellah_system	Reform the Fellah System
reformed_succession	Reform of the Succession
mam_monopoly_ports	Monopoly Ports
consolidate_the_royal_domain	Consolidate the Royal Domain
academia_pontaniana	Academia Pontaniana
encouraged_city_living	Encourage City Living
crush_the_barons	Crush the Power of the Barons
expanded_arsenale	Expand the Arsenale 
city_of_artists	City of Artists
lazzaroni_support	The Lazzaroni and the Monarchy
sic_university_of_catania	University of Catania
sic_constitions_of_melfi	Constitutions of Melfi
sic_noble_admirals	Noble Admirals
sic_greater_sicily	Greater Sicily
sic_trade_fleet	Sicilian Trade Fleets
sic_grand_navy	The Grand Navy
sic_sicilian_silk	Sicilian Silk
mercenary_princes	Mercenary Princes
protection_of_coastlines	Protection of the Coastlines
ara_mediterranean_trade	Mediterranean Trade
consolidation_of_the_estates	Consolidation of the Estates
chartered_merchant_companies	Chartered Merchant Companies
ara_reformed_admin	Reforming the Administration
protection_of_the_little_folk	Protect the Little Folk
mansabdari_system	The Jagir and Mansabdari Systems
control_of_the_ulema	Control over the Clergy
mughal_ibadat_khana	Ibadat Khana - House of Worship
an_indian_padshah	An Indian Padishah
zabt_system	Zabt System
mughal_architecture	Mughal Architecture
fatawa_e_alamgiri	Fatawa-i-Alamgiri
timurid_architecture	Timurid Architecture
the_mantle_of_the_great_khan	The Mantle of the Great Khan
unleash_the_tiger	Unleash the Tiger
chagatai_literature	Chagatai Literature
timurid_renaissance	Timurid Renaissance
riches_of_the_silk_road	Control of the Silk Road
reform_the_diwan	Reform the Diwan
end_of_victual_brothers	The End of the Victual Brothers
strong_league_obligations	Strong League Obligations
hsa_shipbuilding	Improved Shipbuilding
reformed_hanstag	Reformed Hanstag
hanseatic_levy_system	Hanseatic Levy System
regularised_contribution	Regularized Contributions
the_hansa_bank	The Hansa Bank
renaissance_prince	Renaissance Prince
patron_of_music	Patron of Music
lowered_power_of_barons	Lowered Power of the Barons
age_of_condottieri	The Age of the Condottieri
encouragement_of_philosophers	Encouragement of Philosophers
merchant_princes	Merchant Princes
rulership_of_enlightened_principals	Rulership through Enlightened Principals
regulations_for_mercenaries	Regulations for Mercenaries
repopulation_of_countryside	Repopulation of the Countryside
byz_state_admin_reform	Start Administrative Reform
byz_admin_power	Delegated Power
merchant_class	Byzantine Merchant Class
new_imperial_army	The New Imperial Army
ecumenical_patriarch	Restore the Ecumenical Patriarch
vij_promo_trade	Promotion of Trade
arab_horses	Arab Horses
harsh_penal_code	Harsh Penal Code
vij_tolerance	Tolerance
carnatic_music	Carnatic Music
adroit_diplomacy	Adroit Diplomacy
army_for_city_of_victory	An Army for the City of Victory
white_elephant	White Elephant
corvee_system	The Corvee System
trading_links	Promotion of Trading links
ayu_foreign_mercenaries	Foreign Mercenaries 
ayu_embassies	Embassies
phrai_luang	Phrai Luang
personal_executions	Personal Executions
natural_seamanship	Natural Seamanship
call_of_our_forefathers	The Call of our Forefathers
pioneer_spirit	Pioneer Spirit
nor_shipbuilding	Military Shipbuilding
seize_the_opportunity	Seize the Opportunity
nor_fishing	Encouraged Fishing
write_new_sagas	Write New Sagas
local_merchant_preference	Local Merchant Preference
secured_timber_supplies	Securing Timber Supplies
association_with_unbelievers	Association With Unbelievers
port_security_improvement	Port Security Improvements
end_of_shipbuilding_guilds	End of the Shipbuilding Guilds
skilled_captains	Skilled Captains
expansion_of_trade_contacts	Expansion of Trade Contacts
hanguel_alphabet	The Hangeul Alphabet
grand_code	Grand Code for State Administration 
hyanyak_system	Hyang'yak System 
geobukseon	Geobukseon
hopae_system	The Hopae System
kyujanggak	The Kyujanggak
kor_economy_reform	Economic reform
compacta_of_prague	Compacta of Prague
boh_elective_monarchy	Elective Monarchy
wagenburg	Wagenburg
letter_of_majesty	Letter of Majesty
hussite_legacy	Hussite Legacy
kutnohorian_deal	The Kutnohorian Deal
czech_nationalism	Czech Nationalism
no_a_geographical_construct	Not a Geographical Construct
tradition_of_the_legion	The Tradition of the Legion
mare_nostrum	Mare Nostrum
office_of_censor	The Office of Censor
italian_tax_reform	Italian Tax Reform
heir_to_the_empire	Heir to the Empire
path_to_citizenship	The Path to Citizenship
sons_of_the_mountain	Sons of the Mountain
jurchen_pigtail	The Queue
jurchen_foreign_service	Foreign Service
jurchen_border_skirmishes	The Borderlands
jurchen_many_wives	Wives and Concubines
jurchen_warlords_generosity	Generosity of the Warlord
the_jurchen_banners	Jurchen Banner Armies
united_three_jurchens	United Three Jurchens
manchu_eight_banners	The Eight Banners
the_manchu_alphabet	Manchu Alphabet
the_later_jin	The Later Jin
link_with_the_mongol_dynasty	Link with the Mongol Dynasty
manchu_chinese_learning	Chinese Learning
seven_grievances	The Seven Grievances
expand_the_banners	Expand the Banners
the_green_standard_army	The Green Standard Army
pigtail_or_death	Pigtail or Death
qng_bogda_khan	Bogda Khan
the_chinese_rules	Chinese Laws
qing_viceroyalties	The Viceroyalties
the_ten_great_campaigns	The Ten Great Campaigns
imperial_vicar_and_archsteward	Imperial Vicar and Archsteward
heidelberg_university	Heidelberg University
center_of_reformation_in_southern_germany	Center of Reformation in Southern Germany
bibliotheca_palatina	Bibliotheca Palatina
heidelberg_catechism	Heidelberg Catechism
hortus_palatinus	Hortus Palatinus
mannheim_school_of_orchestra	Mannheim school of Orchestra
northern_center_of_arts	Northern Center of Arts
city_of_churches	City of Churches
ivans_hundred	Ivan's Hundred
control_of_the_hanseatic_kontor	Control of the Hanseatic Kontor
grand_dukes_army	Grand Duke's Army
exploration_tradition	Funding the Ushkuiniks
baltic_shipyard	Baltic Shipyard
solomonid_claim	Solomonid Claim
nagusa_negast	Negusa Negast
hostile_borders	Hostile Borders
diplomatic_demeanor	Diplomatic Demeanor
the_ark_of_the_covenant	The Ark of the Covenant
eth_expansionist_policy	Expansionist Policy
eth_reformed_armies	Reformed Armies
repel_the_french	Repel the French
the_shroud_of_turin	The Shroud of Turin
sav_mercenary_tradition	Mercenary Tradition
crush_the_vaudois	Crush the Vaudois
savoyard_flexibility	Savoyard Flexibility
alpine_tolls	Alpine Tolls
savoyard_legitimacy	Savoyard Legitimacy
SAR_judicate	From the Judicate
SAR_papal_restoration	Papal Restoration
SAR_viceroyalty	The Sardinian Viceroyalty
SAR_and_COR	The Crown of Sardinia and Corsica
SAR_piedmontese_ambition	Piedmontese Ambition
SAR_cathedrals	Island of Cathedrals
SAR_saint_maurice	The Order of Saint Maurice
COR_unblinded_moor	The Unblinded Moor
COR_battle_of_meloria	The Battle of Meloria
SAR_and_COR	The Crown of Sardinia and Corsica
COR_league	The Corsican League
COR_iron_bank	The Bank of Saint George
COR_constitution	The Corsican Constitution
COR_home_of_the_revolution	True Home of the Revolution
spi_flexibility	Diplomatic Flexibility
spi_defensive_prowess	Defensive Prowess
the_shroud_of_turin	The Shroud of Turin
spi_royal_sardinian_army	Royal Sardinian Army
spi_centralized_state	Centralized State
spi_piedmontese_manufacturing	Piedmontese Manufacturing
spi_risorgimento	The Risorgimento
albertine_and_ernestine	Albertine and Ernestine lines
meissner_porcelain	Meissner Porcelain
the_zwinger	The Zwinger
wittenberg_university	Wittenberg University
corpus_evangelicorum	Corpus Evangelicorum
sax_principal_line	The Principal Line
the_saxon_circle	The Saxon Circle
warlord_dukes	Warlord Dukes
auksine_laisve	Auksine Laisve
magdeburg_laws	Magdeburg Laws
magnate_estates	Magnate Estates
lithuanian_hussars	Lithuanian Hussars
statutes_of_lithuania	Statutes of Lithuania
lithuanian_renaissance	Lithuanian Renaissance
tradition_of_military_service	Tradition of Military Service
forts_of_maharashtra	Forts of Maharashtra
peasant_soldiers	Peasant Soldiers
office_of_the_peshwa	Office of the Peshwa
encourage_ties_with_brahmin_financial_families	Strengthen ties with Brahmin Financial Families
reform_the_bureaucracy	Reform The Bureaucracy
expand_maratha_navy	Expand Maratha Navy
mandala_system	Mandala System
tau_elephant_battles	Elephant Warfare
nat_worship	Nat Worship
chakravartin	Chakravartin
the_hluttaw	The Hluttaw
tau_organized_campaigns	Organized Military Campaigns
bayingyi	Bayingyi
legacy_of_the_pagan_dynasty	Legacy of the Pagan dynasty
ava_rajadhiraja	Rajadhiraja
manu_kye_dhammathat	Manu Kye Dhammathat
ava_bamar_literature	Patronize Burmese Literature
ava_hill_tribes	Recruit from the Hill Tribes
ava_shan_in_line	Keep the Shan in Line
ava_provincial_governors	Rein in Provincial Governors
people_of_the_book	People of the Book
recover_al_andalus	Recover Al Andalus
beacon_of_learning	Beacon of Learning
strait_of_gibraltar	Strait of Gibraltar
alhambra	Alhambra
moors	Moors
successor_caliphate_cordoba	Successor Caliphate of Cordoba
ecclesiastical_primacy	Ecclesiastical Primacy
papal_investiture_and_tithes	Papal Investiture and Tithes
glory_of_rome	Glory of Rome
donation_of_constantine	Donation of Constantine
centralize_the_states	Centralize the States
the_vatican_museums	The Vatican Museums
holy_father	The Holy Father
code_of_laws	Code of Laws
bastion_of_orthodoxy	Bastion of Orthodoxy
home_of_hussars	Home of the Hussars
alemannic_guard	Alemannic Guard
gold_mines	Gold Mines
mercenary_armies	Mercenary Armies
balkan_hajduks	Balkan Hajduks
lord_of_elephants	Lord of the Elephants
servitor_of_jagganath	Servitor of Jagannath
parikshas	Parikshas
refined_cloth_production	Refined Cloth Production
patronize_temple_construction	Patronize Temple Construction
encourage_salt_trade	Encourage the Salt Trade
heritage_of_the_sadhabas	Heritage of the Sadhabas
breadbasket_of_india	Breadbasket of India
encourage_indo_persian_trade	Encourage Indo-Persian Trade
punjabi_textile_industry	Punjabi Textile Industry
foundation_of_the_khalsa	The Khalsa
gurmukhi_script	Adopt Standardized Gurmukhi Script
strength_of_the_misls	Strength of the Misls
reforming_the_punjabi_army	Reforming the Punjabi Army
ordo_marinaritiae	Ordo Marinaritiae
center_of_trade	Center of Trade
patronage	Patronage
ragusan_arsenal	Ragusan Arsenal
port_gruz	Port Gruz
non_bene_pro_toto_libertas_venditur_auro	Non Bene Pro Toto Libertas Venditur Auro
palace_of_the_rector	Palace of the Rector
DAL_kingdom_of_dalmatia	Kingdom of Dalmatia
DAL_principalities	The Dalmatian Principalities
DAL_language	The Dalmatian Language
DAL_art_and_lit	Center of Art and Literature
DAL_independent_army	Dalmatian Independent Army
DAL_arsenal	The Independent Arsenal
DAL_illyria	Legacy of Illyria
ryu_chinese_investiture	Chinese Investiture
reform_the_ryukyuan_religion	Reform the Ryukyuan Religion
ryu_shuri_castle	Shuri Castle
ryu_maritime_com	Maritime Commercialism
ryu_sign_trade_agreements	Sign Trade Agreements
ryu_national_academy	National Academy
ryu_the_three_mountains	The Three Mountains
buranjis	The Buranjis
wet_rice_cultivation	Wet Rice Cultivation
river_warfare	River Warfare
reform_paik_system	Reform the Paik System
process_of_appeal	Process of Appeal
ahom_land_survey	Land Survey
ahom_diplomacy	Ahom Diplomacy
birthplace_of_the_renaissance	Birthplace of the Renaissance
tuscan_condottieri	Condottieri
tuscan_banking	Tuscan Banking
tuscan_arts	Patron of the Arts
porto_franco	Porto Franco
tuscan_administrative_reforms	Administrative Reforms
tuscan_grand_duchy	Territorial Ambition
freedom_of_religion	Freedom of Religion
usa_bill_of_rights	Bill of Rights
manifest_destiny	Manifest Destiny
lessons_of_valley_forge	Lessons of Valley Forge
workshop_of_the_world	Workshop of the World
shining_city_on_a_hill	Shining City on a Hill
empire_of_liberty	Empire of Liberty
swiss_mercenaries	Swiss Mercenaries
swiss_tolerance	Swiss Tolerance
the_swiss_confederation	The Swiss Confederation
alpine_defensiveness	Alpine Defensiveness
oasis_of_peace_and_prosperity	Oasis of Peace and Prosperity
haven_for_refugees	Haven for Refugees
clockwork	Clockwork
gold_to_salt_trade	Gold To Salt Trade
independence_from_mali	Independence from Mali
jihad_against_the_pagans	Jihad Against the Pagans
sankore_madrassah	Sankore Madrassah
the_hajj	The Hajj
sharia	Sharia
trans_sahara_trade	Trans-Sahara Trade
legacy_of_breton_independence	Legacy of Breton Independence
estates_of_brittany	The Estates of Brittany
breton_march	Breton March
breton_catholicism	Breton Catholicism
protect_the_coastline	Protect the Coastline
league_of_the_public_weal	League of the Public Weal
catholicon	The Catholicon
bedouin_poets	Bedouin Poets
hanbali_school_ni	Hanbali School
ships_of_the_desert	Ships of the Desert
bedouin_raiders	Bedouin Raiders
arabian_horsemanship	Arabian Horsemanship
unite_the_tribes	Unite the Tribes
enforce_tawhid	Enforce Tawhid
custodian_of_the_two_holy_cities	Custodian of the Two Holy Cities
hed_red_sea_trade	Red Sea Trade
sharifs_of_mecca	Sharifs
hed_desert_warfare	Desert Warfare
cradle_of_gold	Cradle of Gold
hajj	Hajj
successor_to_the_caliphate	Successor to the Caliphate
divya_upadesh	The Divya Upadesh
land_of_peaks	Land of Peaks
valleys_united	Our Valleys United
rajput_refugees	Rajput Refugees
royal_kumari	The Royal Kumari
gurkha_recruits	The Gurkhas
envelopment_and_blockade	Envelopment and Blockade 
defense_of_the_faith	Defense of the Faith
assistance_to_the_suffering	Assistance to the Suffering
the_tongues_of_knights	The Tongues of Knights
reconquista_of_the_sea	Reconquista of the Sea
ecumenical_defenders_of_christendom	Ecumenical Defenders of Christendom.
scourge_of_the_corsairs	Scourge of the Corsairs
crusader_tradition	Crusader Tradition
kongolese_tax_exchange	Kongolese Tax Exchange
election_of_manikongos	Election of Manikongos
imported_european_weaponry	Imported European Weaponry
diplomacy_with_european_monarchs	Diplomacy With European Monarchs
triangle_trade	The Triangle Trade
foreign_demand_for_slaves	Foreign Demand For Slaves
defend_against_the_colonists	Defend Against the Colonists
restore_malian_suzerainity	Restore Malian Suzerainty
gold_of_bure	Gold of Bure
reclamation_of_land	Reclamation of Land
mandinka_warrior_spirit	Mandinka Warrior Spirit
lost_fleet_of_abubukari_ii	Lost Fleet of Abubakari II
seek_new_markets_for_salt	Seek New Markets for Salt
west_african_slave_trade	West African Slave Trade
great_lakes_trade	Great Lakes Trade
hire_allied_warriors	Hire Allied Warriors
birchback_canoes	Birchbark Canoes
harsh_justice	Harsh Justice
missionary_welcome	Missionary Welcome
feast_of_the_dead	Feast of the Dead
eldest_children	Eldest Children
kainerekowa	Kainerekowa
keepers_of_the_western_door	Keepers of the Western Door
keepers_of_the_eastern_door	Keepers of the Eastern Door
keepers_of_the_fire	Keepers of the Fire
mourning_wars	Mourning Wars
warriors_unity	Warriors Unity
the_four_kings	The Four Kings
moundbilders_legacy	Moundbuilders Legacy
spartans_of_miss	Spartans of the Lower Mississippi
nighttime_raids	Nighttime Raids
unconqured_and_unconquerable	Unconquered and Unconquerable
slave_raids	Slave Raids
lessons_of_ackia	Lessons of Ackia
swan_feathers_mantle	Swan Feathers Mantle
moundbilders_legacy_CHE	Moundbuilders Legacy
massacre_of_the_anikutani	Massacre of the Ani-Kutani
red_chiefs	Red Chiefs
cherokee_adaptability	Cherokee Adaptability
ghigau	Ghigau
mountainous_isolation	Mountainous Isolation
cherokee_emperor	Cherokee Emperor
ancient_pueblo_legacy	Ancient Pueblo Legacy
adobe_architecture	Adobe Architecture
mesa_settlements	Mesa Settlements
cotton_weaving	Cotton Weaving
kachina_dolls	Kachina Dolls
clown_societies	Clown Societies
legend_of_cibola	Legend of Cibola
the_wandering_people	The Wandering People
dark_and_bloody_ground	Dark and Bloody Ground
the_bread_dance	The Bread Dance
shaawanwaki_identity	Shaawanwaki Identity
autonomous_clans	Autonomous Clans
farreaching_relations	Far-Reaching Relations
private_war_parties	Private War Parties
moundbilders_legacy_CRE	Moundbuilders Legacy
creek_caste_system	Creek Caste System
green_corn_celebration	Green Corn Celebration
four_mother_towns	Four Mother Towns
micos_leadership	Micos Leadership
muscogee_neutrality	Muscogee Neutrality
red_sticks	Red Sticks
legacy_of_sword_brethren	Legacy of Sword Brethren
privilegium_gotthardinum	Privilegium Gotthardinum
duchy_of_mercantilism	Duchy of Mercantilism
booming_manufacture	Booming Manufacture
couronian_colonization	Couronian Colonization
palaces_of_mitau	Palaces of Mitau
promote_the_curonian_kings	Promote the Curonian Kings
memory_of_angevin_claims	Memory of Angevin Claims
revive_house_of_anjou	Revive House of Anjou
composite_monarchy	Composite Monarchy
tarascon_castle	Tarascon Castle
public_weal	Public Weal
toulon_dockyard	Toulon Dockyard
provencal_quilting	Provençal Quilting
mdi_indian_ocean_trade	Indian Ocean Trade
somali_sailors	Somali sailors
mdi_east_african_gold_trade	East African Gold Trade
city_of_mogadishu	City of Mogadishu
mogadishan_currency	Mogadishan Currency
horn_of_africa	Horn of Africa
toob_benadir	Toob Benadir
komnenoi_in_exile	Komnenoi in Exile
pontic_mountains	Pontic Mountains
legacy_of_the_alexiad	Legacy of the Alexiad
komnenoi_princesses	Komnenoi Princesses
the_lessons_of_the_fourth_crusade	The Lessons of the Fourth Crusade
terminus_of_the_silk_road	Terminus of the Silk Road
greek_scholars_abroad	Greek Scholars Abroad
bagrationi_dynasty	Bagrationi Dynasty
georgian_isolation	Georgian Isolation
geo_legacy_of_saint_nino	Legacy of Saint Nino
restoration_of_fortresses_and_churches	Restoration of Fortresses and Churches
sadrosho_districts	Sadrosho Districts
geo_dasturlamali	Dasturlamali
georgian_embassies	Georgian Embassies
pashtunwali	Pashtunwali
shadows_of_the_hindu_kush	Shadows of the Hindu Kush
tureh	Tureh
afghan_diaspora	Afghan Diaspora
durrani_imperialism	Durrani Imperialism
institutionalized_loya_jirga	Institutionalized Loya Jirga
graveyard_of_empires	Graveyard of Empires
cunning_diplomacy	Cunning Diplomacy
foreign_trade_restrictions	Foreign Trade Restrictions
mercenary_guard	Mercenary Guard
w_foreign_advisors	Foreign Advisors
legacy_of_the_impaler	Legacy of the Impaler
boyar_regime	Boyar Regime
abolition_of_serfdom	Abolition of Serfdom
hrvatski_ban	Hrvatski Ban
pearl_of_the_adriatic	Pearl of the Adriatic
granary_of_croatia	Granary of Croatia
antemurale_christianitatis	Antemurale Christianitatis
the_sabor	The Sabor
croatian_renaissance	Croatian Renaissance
