aac_charlemagne_capital	Charlemagne's Capital
ADA_traders_of_the_horn	Traders of the Horn of Africa
yem_yemeni_architecture	Yemeni Architecture
yem_promoting_yemeni_trade_ports	Promoting the Yemeni Trade Ports
yem_al_yaman	Al-Yaman, Felicitous Arabia
coffea_arabica	Coffea Arabica
yem_control_of_the_red_sea	Control of the Red Sea
yem_uniting_yemeni_tribes	Uniting the Yemeni Tribes
yem_foreign_embassies	Foreign Embassies
adu_stand_against_the_reconquista	Stand Against the Reconquista
adu_taifa_adminstration	Taifa Administration
adu_ahl_uhl_dhimma	Alh Ulh Dhimma
adu_legacy_of_ibn_arabi	Legacy of Ibn Arabi
adu_jund_settlements	Jund Settlements
adu_expeditionary_sentiment	Expeditionary Sentiment
adu_al_awasim	Al Awasim
AEG_galleys	Powerful Galleys
AEG_trade	Aegean Trade Network
AEG_delian	Heritage of the Delian League
AEG_faithful_islands	Devout Island Folk
AEG_council	Council of Admirals
GRE_island_ports	Island Ports
AEG_discip_soldiers	Discipline Soldiers
AFA_islam_conversion	Islamic Conversion
AFA_clan_families	Clan Families
AFA_mabia_mountains	Mabla Mountains
AFA_livestock_holders	Livestock Holders
AFA_salt_raiding	Salt Raiding
AFA_folk_healing	Folk Healing
AFA_migrant_labour	Migrant Labour
pashtunwali	Pashtunwali
shadows_of_the_hindu_kush	Shadows of the Hindu Kush
tureh	Tureh
afghan_diaspora	Afghan Diaspora
durrani_imperialism	Durrani Imperialism
institutionalized_loya_jirga	Institutionalized Loya Jirga
graveyard_of_empires	Graveyard of Empires
AGD_greekification	Greekification
AGD_legacy_alexander	Legacy of Alexander the Great
AGD_phalanx	The Macedonian Phalanx
AGD_to_the_indus	To the Indus
AGD_strong_leaders	Strong Kings
AGD_council_diadochi	The Diadochi
AGD_efficient_administration	Efficient Administration
AGG_nation_of_wolves	Nation of Wolves
AGG_stationary_tribe	Stationary Tribe
AGG_ritual_leadership	Ritual Leadership
AGG_movement_across_lakes	Movement across lakes
AGG_ceremonial_shamans	Ceremonial Shamans
AGG_assistance_of_strangers	Assistance of Strangers
AGG_fur_trade	Fur Trader
AQG_native_relations	Native Relations
AQG_ethno_botany	Ethno Botany
AGQ_hunting_and_fishing	Hunting and fishing
AGQ_copper_tools	Copper Tools
AQG_birch_bark_canoes	Birch bark canoes
AGQ_snow_shoes	Toboggans and Snow Shoes
AQG_sunflowers_and_tobacco	Sunflowers and Tobacco
fall_of_bahmanis	Fall of Bahmanis
the_fall_of_daulatabad_fort	The Capture of Daulatabad
distiniguished_amongst_deccani_sultans	Distinguished in the Deccan
blood_on_the_royal_dynasty	Blood on our Dynasty
reformation_of_revenue_intake	Ahmednagari Taxation Reform
ahmednagar_renovations	Frontier Fortifications
persianate_acceptance	Akin to the Persian World
taghlamt	The Taghlamt
cross_of_agades	Cross of Agades
legacy_of_tin_hinan	Legacy of Tin-Hinan
blue_people	The Blue People
inadan_castes	Inadan Castes
nomadic_traditions	Nomadic Traditions
ineslemen_teachings	Ineslemen Teachings
aju_maritime_enterprise	Maritime Enterprise
istunka_tournament	Istunka Tournament
gareen_imams	Gareen Imams
aju_muslim_migrations	Muslim Migrations
aju_hydraulic_empire	Hydraulic Empire
aju_expelling_the_infidel	Expelling the Infidel
aju_received_assistance	Ottoman Assistance
akk_white_sheep	The White Sheep
akk_unite_the_federation	Unite the Clans
akk_turko_iranian_bureaucracy	Turko-Iranian Bureaucracy
akk_apanages	Dynastic Appanages
akk_expansive_diplomacy	Expansive Diplomacy
akk_religious_pragmatism	Religious Pragmatism
akk_qanun_nama_ye_hasan	Qanun-nama-ye Hasan
generals_with_the_hosokawa	Generals of the Hosokawa Clan
integrated_with_the_ashikaga_shogunate	Integrated with the Ashikaga Shogunate
constructor_of_himeji_castle	Builder of Himeji Castle
shinmen_clan_swordsmen	Swordsmen of the Shinmen Clan
patronize_the_five_mountains_literature	Patronize Five Mountains Literature
support_the_rinzai_school	Support the Rinzai School
succeed_the_minamoto_clan	Succeed the Minamoto Clan
AKS_conversion_availability	Easy Conversion.
AKS_convincing_preachers	Convincing Preachers
AKS_ethiopan_highlands	Ethiopian Highlands.
AKS_trade_center	Center of Commerce.
AKS_prester_john	Prester John
AKS_open_borders	Open Borders
AKS_gulf_aden	Gulf of Aden
akt_march_of_akita	March of Akita
akt_foothold_in_hokkaido	Ainu Trade
akt_clan_unification	Clan Unification
akt_expansion_of_trade_posts	Trade Expansion
akt_ainu_campaigns	Integration of Other Cultures
akt_true_shogun_of_oshu	True Shogun of Oshu
akt_adoption_system	Adoption System
ALA_endurance	Aleutian Endurance
ALA_hard_push_east	The Hard Push East
ALA_secretary_icebox	The Secretary's Icebox
ALA_bear_hunting	Bear Hunting
ALA_diversity	Alaskan Religious Diversity
ALA_navy	Alaskan Navy
ALA_beauty	The Beauty of Alaska
all_lands_under_skanderbeg	All Lands Under Skanderbeg
land_of_ambushers	Land of Ambushers
kingdom_of_albania	Kingdom of Albania
hit_and_run	Hit and Run
land_of_eagles	Land of the Eagles
albanian_tolerance	Albanian Tolerance
break_the_princes	Break The Power Of Princes
ALC_Portus_Albas	Portus Albus
ALC_remembering_the_vikings	Remembering The Viking Invasion
ALC_defending_the_ports	Defending The Ports
ALC_last_stop	The Last Stop
ALC_bishop_of_cadiz	Bishop of Cadiz
ALC_foreign_knights	Foreign Knights
ALC_atlantic_med	Atlantic and the Mediterranean
duekdom_of_the_royal_family	Dukedom of the Royal Family
history_with_the_royal_family	History with the Royal Family
participants_in_the_100_years_war	Participants in the Hundred Years' War
extinct_house_of_belleme	Extinct House of Belleme
ties_through_roger_de_montgomery	Thanks be to Roger de Montgomery
claim_royal_power	Claim Royal Power
all_for_france	All for France
ALG_phonecian_founding	Phonecian Founding
ALG_bologhine_ibn_ziri	Bologhine Ibn Ziri
ALG_spanish_trade	Spanish Trade
ALG_Oran_seaport	Oran Seaport
ALG_corsair_activity	Corsair Activity
ALG_djamaa_el_kebir	Djamaa El Kebir
ALG_arabic_berber	Arabic Berber
alh_desert_warfare	Desert Warfare
alh_lord_of_the_eastern_bedouin	Lord of the Bedouin of the East
alh_pearls_of_the_persian_gulf	Pearls of the Persian Gulf
alh_fortify_the_coastline	Fortify the coastline
alh_entrepot_of_india	Entrepot of India
alh_a_modern_navy	A Modern Navy
alh_legacy_of_rahmah_ibn_jabir	Legacy of Rahmah ibn Jabir
ALO_last_nubian_kingdom	Last Nubian Kingdom
ALO_polyethnic_state	Polyethnic State
ALO_qasr_ibrim	Letters from Qasr Ibrim
ALO_soba	Soba
ALO_nubian_army	Nubian Army
ALO_greek_alphabet	Greek Alphabet
ALO_african_gems	African Gems and Minerals
ALN_Tejo_River	Beyond the Tejo River
ALN_convent_of_sao_cucufate	Convent of Sao Cucufate
ALN_the_dry_lands	The Dry Lands
ALN_metalic_minerals	Metallic Minerals
ALN_all_fronts	War On All Fronts
ALN_production_of_cork	Production of Cork
ALN_window_past	Window Into The Past
ALS_germanic_allemani_roots	Germanic Allemani Roots
ALS_Landgericht	Landgericht
ALS_prosperity_under_Munichss	Prosperity under Munich
ALS_nominal_landlord	Nominal Landlords
ALS_Munichs_demense	Munichs Demense
ALS_mosaic_of_religion	Mosaic Of Religion
ALS_german_land_in_france	German Lands In France
ALT_river_crossing	River Crossing
ALT_diplomatic_pressure	Diplomatic pressure
ALT_growth_of_provinces	Growth of provinces
ALT_federation_leadership	Federation leadership
ALT_river_trade	River trade
ALT_largest_river_and_gold	Rivers and Gold
ALT_powerful_women	Powerful women
ALX_seat_of_pat	Seat of the Patriarch
ALX_lighthouse	The Great Lighthouse of Alexandria
ALX_mouth_of_nile	The Mouth of the Nile
ALX_granary	Granary of the Mediterranean
ALX_foreign_quarters	The Egyptian Melting Pot
ALX_acceptance	Social Acceptance
ALX_well_fed_people	Abundance of Food
ama_omi_genji	Omi-Genji
ama_izumo_shugo	Izumo Shugo
ama_gassan_toda_castle	Fortified Strongholds
ama_ten_brave_warriors	Ten Brave Warriors
ama_coastal_trade	Dominate the Coastal Trade
ama_kizuki_shrine	Kizuki
ama_iwami_ginzan	Iwami Ginzan
AMG_french_brandy	Oldest French Brandy
AMG_merovingian_home	Merovingian Home
AMG_shifting_alliances	Shifting Alliances
AMG_the_armagnacs	The Armagnacs
AMG_rapacious_plundering	Rapacious Plundering
AMG_earth_and_water	Earth And Water
AMG_power_in_the_south	Power In The South
ANH_mittelgebirge	Mittelgebirge
ANH_branches	The Branches of Anhalt
ANH_incorporating_the_bishopric	Incorporation of the Bishopric
ANH_castle	Anhalt Castle
ANH_garden_kingdom	Dessau Garden Kingdom
ANH_schultheiss	The Duke and the Schultheiss
ANH_confessor	The Confessor
ANJ_prominent_fiefdom	Prominent Fiefdom
ANJ_Carolingian_heredity	Carolingian Heredity
ANJ_capetian_dynasty	Capetian Dynasty
ANJ_time_of_plantagenets	Time Of The Plantagenets
ANJ_apanage_for_kings_brother	Apanage For Kings Brother
ANJ_good_king_rene	Good King Rene
ANJ_peerage_of_france	Peerage Of France
ANL_run_through_plains	Run through Plains
ANL_leadership_through_peace	Leadership through peace
ANL_eagles	Eagles
ANL_trade_power	Trade Power
ANL_mississippi_legacy	Mississippi Legacy
ANL_woodlands_and_hunting	Woodlands and Hunting
ANL_rapid_buildings	Rapid Building
ANN_swarthy_emperor	Swarthy Emperor
ANN_mountain_chiefs	Mountain Chiefs
ANN_wild_men	Wild Men
ANN_hybrid_structures	Hybrid Structures
ANN_prominence_for_women	Prominence For Women
ANN_rich_soil	Rich Soil
ANN_wooded_mountains	Wooded Mountains
ans_land_of_the_hohenzollerns	Land of the Hohenzollerns
ans_restore_the_burgraviate	Restoring Our Heritage
ans_franconian_reformers	Franconian Reformers
ans_protestant_exiles	Protestant Exiles
ans_wolf_of_ansbach	The Wolf of Ansbach
ans_fayencemanufaktur	Ansbacher Fayencemanufaktur
ans_dragoons_of_ansbach	Dragoons of Ansbach
ant_tampon_tany	Unite with the Tompon-Tany
ant_sorabe	Sorabe
ant_andrianoni	Office of the Andrianoni
ant_ombiasa	Ombiasa
ant_religious_control	Religious Control
ant_slave_trade	Strengthen control over the Slave Trade
ant_unify_political_and_religious_power	Unify Political and Religious Power
anu_chasi	Chasi
anu_riches_of_the_sea	Riches of the Sea
anu_southern_traders	Southern Traders
anu_heirs_of_jomon	Heirs of Jomon
anu_hunters_and_warriors	Hunters and Warriors
anu_yukar	Yukar
anu_fierce_resistance	Fierce Resistance
ANZ_predate_islam	Predating Islam
ANZ_arabian_prominence	Arabian Prominence
ANZ_in_najd	Anizah In Najd
ANZ_many_tribes	Tribes Of Anizah
ANZ_the_ruwullah	The Ruwullah
ANZ_crop_levies	Crop Levies
ANZ_khuwwa	Khuwwa
AOT_keohara_tephra	Keohara Tephra
AOT_moa	Moa Birds
AOT_fortified_pa	Portified Pa
AOT_chieftanship	Chieftanship
AOT_whakapapa	Whakapapa
AOT_whaikorero	Whaikorero
AOT_cultivation	Cultivation of Crops
APA_tribal_cousins	Tribal Cousins
APA_cultural_diversity	Cultural Diversity
APA_mountains_and_valleys	Mountains And Valleys
APA_nomadic_lifestyle	Nomadic Lifestyle
APA_bison_hunting	Bison Hunting
APA_trade_with_tribes	Trade With Tribes
APA_medicine_men	Medicine Men
AQU_roman_fort	Roman Fortress
AQU_latin_rights	Latin Rights
AQU_constantines_sojourn	Constantines Sojourn
AQU_aquiliean_mint	Aquileian Mint
AQU_cathedral	Aquileia Cathedral
AQU_Hermagoras_of_Aquileia	Hermagoras of Aquileia
AQU_Provveditore_generale	Provveditore Generale
mercenary_princes	Mercenary Princes
protection_of_coastlines	Protection of the Coastlines
ara_mediterranean_trade	Mediterranean Trade
consolidation_of_the_estates	Consolidation of the Estates
chartered_merchant_companies	Chartered Merchant Companies
ara_reformed_admin	Reforming the Administration
protection_of_the_little_folk	Protect the Little Folk
ARB_custodian_of_islam	Custodian of Islam
ARB_pillar_of_islam	Pillar of Islam
ARB_revival_of_strength	Revival of Strength
ARB_astrology	Arabian Astrology
ARB_kaaba	Kaaba
ARB_architecture	Arabian Architecture
ARB_technology	Technological Advances
li_gora_gawiri_kurd_misilman	Li Gora Gawirî Kurd Misilman e
kurdish_mercenaries	Kurdish Mercenaries
kurdish_tribes	Kurdish Tribes
kurdish_diplomacy	Active Diplomacy
kurdish_warriors	Mountain Warriors
legacy_of_the_kurdish_dynasties	Legacy of the Kurdish Dynasties
gorani_literature	Gorani Literature
ARE_palazzo	The Palazzo
ARE_splendid_court	Splendid Court
ARE_condottieri_tradition	The Tradition of the Condottieri
ARE_il_cortegiano	Il Cortegiano
ARE_walls_of_Arezzo	The Strong Walls of Arezzo
ARE_roman_aristocracy	Links to Roman Aristocracy
ideal_city	Ideal City
ARH_Novgorodian_Courts	Novgorodian Courts
ARH_Winter_Defenses	Winter Defenses
ARH_Swedish_Steel	Swedish Steel
ARH_The_Council_of_Rus	The Council of Rus
ARH_Professional_Army	Professional Army
ARH_Diplomatic_Presence	Diplomatic Presence
ARH_White_Sea_Trade	White Sea Trade
ark_mrauk_u_dynasty	Mrauk U Dynasty
ark_rohingya_immigrants	Rohingya Immigrants
ark_bengal_bay_trade	Bay of Bengal Trade
ark_magh_and_ferenghi	Magh and Ferenghi
ark_buddhist_sultans	Buddhist Sultans
ark_muslim_advisers	Muslim Advisors
ark_trade_contracts_ark	Arakanese Trade Contracts
arl_safavid_order	The Safavid Order
arl_qizilbash	The Qizilbash
arl_shiite_leadership	Leader of all Shiites
arl_conversion_of_the_masses	Conversion of the Masses
arl_religious_war	Religious War
arl_amili_mujtahids	Amili Mujtahids
arl_shahs_of_iran	Shahs of Iran
apostolic_church	Apostolic Church
land_reclamation	Land Reclamation
border_nation	Border Nation
melikdom_organization	Melikdom Organization
sygnakhs	Sygnakhs
nakharar_titles	Nakharar Titles
end_of_armenian_diaspora	End of Armenian Diaspora
ARN_nation_of_wolves	Nation of Wolves
ARN_stationary_tribe	Stationary Tribe
ARN_ritual_leadership	Ritual Leadership
ARN_movement_across_lakes	Movement across lakes
ARN_ceremonial_shamans	Ceremonial Shamans
ARN_assistance_of_strangers	Assistance of Strangers
ARN_fur_trade	Fur Trader
tribal_connections	Tribal Connections
arapaho_warrior_culture	Arapaho Warrior Culture
expanding_the_arapaho_grounds	Expanding Arapaho Grounds
eight_arapaho_military_societies	The Eight Arapaho Warrior Societies
prepare_for_diplomatic_shifts	Diplomatic Shifts
formalize_arapaho_divisons	Formalize Arapaho Divisions
the_arapaho_nation	The Arapaho Nation
guajiro_warrior_culture	Warrior Culture
guajiro_land_cultivation	Land Cultivation
orinoco_trade	Orinoco Trade
tribal_tolerance	Tribal Tolerance
guajiro_raiders	Arawak Raiders
guajiro_enemy_of_my_enemy	Enemy Of My Enemy
guajiro_jungle_warfare	Jungle Warfare
asa_hidden_diplomacy	Hidden Diplomacy
asa_echizen_paper	Echizen Paper
asa_ichijodani_city	Ichijodani City
asa_teach_of_asakura_soteki	Asakura Soteki
asa_seventeen_clan_code	Seventeen Clan Code
asa_control_of_buddhist_sects	Control of Buddhist Sects
asa_legacy_of_emperor_keitai	Legacy of Emperor Keitai
conflicts_against_muslims	Conflicts with Muslims
intersection_of_trade_routes	Intersection of Trade Routes
code_of_laws	Code of Laws
a_volatile_region	Our Volatile Region
peasant_soldiers	Peasant Soldiers
bastion_of_orthodoxy	Bastion of Orthodoxy
succeed_the_old_khans	Succeed the Old Khans
ash_idea_1	Elder Council
ash_idea_2	The Slave Forts
ash_idea_3	The Akan Coalition
ash_idea_4	The Golden Stool
ash_idea_5	Centralized Coalition
ash_idea_6	Osei Kwadwo's Reforms
ash_idea_7	National Army
rivals_of_the_ojibwe	Rivals of the Ojibwe
north_american_fur_trade	North American Fur Trade
formation_of_the_iron_confederacy	Formation of the Iron Confederacy
assiniboine_political_power	Assiniboine Political Power
semi_nomadic_traditions	Semi-Nomadic Traditions
modernize_trade_relations	Modernize Trade Relations
diversify_and_adapt_economically	Adapating our Economy
ask_head_of_the_genji	Head of the Genji
ask_defender_of_the_imperial_court	Defenders of the Imperial Court
higashiyama_culture	Higashiyama Culture
tosen_bugyo	Tosen-bugyo
ask_bugyoshu_and_hokushu	Bugyoshu and Hokoshu
bakufu_chokkatsuchi	The bakufu Chokkatsuchi
ask_reform_shogun_shugo_system	Reform the Shogun - Shugo System
ASR_glory_of_middle	Glory of the Middle Kingdom
ASR_nationalism	Assyrian Nationalism
ASR_ashur	Heirs of Ashur
ASR_chariots	War Chariots
ASR_siege_engines	Superior Siege Engines
ASR_brutality	Efficient Brutality
ASR_meso_trade	Mesopotamian Trade
buranjis	The Buranjis
wet_rice_cultivation	Wet Rice Cultivation
river_warfare	River Warfare
reform_paik_system	Reform the Paik System
process_of_appeal	Process of Appeal
ahom_land_survey	Land Survey
ahom_diplomacy	Ahom Diplomacy
against_the_golden_horde	Against the Golden Horde
intersection_of_trade_routes	Intersection of Trade Routes
structured_feudal_ranks	Structured Feudal Ranks
a_volatile_region	Our Volatile Region
placate_the_nogais	Placate the Nogai
become_a_bastion_for_islam	Becoming an Islamic Bastion
succeed_the_old_khans	Succeed the Old Khans
asu_reconquista	Reconquista
asu_camino_de_santiago	Camino de Santiago
asu_aristocracy	Asturian Aristocracy
asu_colonialism	Voyage to the New World
asu_millenarian_revival	Millenarian Revival
asu_unify_the_provinces	Unify the Provinces
asu_early_industrialism	Early Industrialism
ATA_longevity_of_leaders	Longevity of leaders
ATA_embracing_of_ideals	Embracing of ideals
ATA_historic_lands	Historic lands
ATA_development_and_growth	Development and growth
ATA_life_blood	Life blood
ATA_prime_soldiers	Prime soldiers
ATA_bears_fish	Bears and Fish
ATC_Christ	Christianization of the East
ATC_Knights	Knights Hospitaller
ATC_Canons	Canons of The Holy Sepulchre
ATC_Lance	The Holy Lance
ATC_Tripoli	Knights of Tripoli
ATC_Protection	Seeking Protection
ATC_Culture	Cultural Environment
dominus_athenarum	Dominus Athenarum
athenian_openeness	Athenian Openness
athenian_pragmatism	Athenian Pragmatism
revive_the_latin_greece	Revive the Latin Greece
latin_contracts	Latin Contracts
archbishop_of_athens	Preserve Archbishop of Athens
athenian_army_reform	Athenian Army Reform
consolidate_sumtatran_land	Consolidate Sumatran Land
strait_combat	Strait Combat
wider_muslim_world_support	Support from Western Muslims
modernize_acehnese_firearms	Modernize Acehnese Weapons
successor_to_pasai	Successor to Pasai
islamic_bastion_of_sumatra	Islamic Bastion of Sumatra
the_looming_hostage_crisis	Solve the Hostage Crisis
ATT_nation_of_wolves	Nation of Wolves
ATT_stationary_tribe	Stationary Tribe
ATT_ritual_leadership	Ritual Leadership
ATT_movement_across_lakes	Movement across lakes
ATT_ceremonial_shamans	Ceremonial Shamans
ATT_assistance_of_strangers	Assistance of Strangers
ATT_fur_trade	Fur Trader
ATW_nation_of_wolves	Nation of Wolves
ATW_stationary_tribe	Stationary Tribe
ATW_ritual_leadership	Ritual Leadership
ATW_movement_across_lakes	Movement across lakes
ATW_ceremonial_shamans	Ceremonial Shamans
ATW_assistance_of_strangers	Assistance of Strangers
ATW_fur_trade	Fur Trader
legacy_of_imperial_papal_sidings	Siding with One or the Other
free_imperial_city_status	Free Imperial City Status
fuggers_and_welsers	Fuggers and Welsers
reformation_tensions	Reformation Tensions
influential_ties	Influential Ties
promote_augsburg_industry	Promote Augsburg Industry
development_of_augsburg	The Development of Augsburg
AUS_outback_stations	Outback Stations
AUS_land_down_under	The Land Down Under
AUS_eureka_rebellion	The Eureka Rebellion
AUS_sandpaper_and_cheating	The Diggers
AUS_royal_navy	Royal Australian Navy
AUS_bushrangers	Integration of the Bushrangers
AUS_waltzing_matilda	Waltzing Matilda
ancient_memories	Ancient Memories
developments_of_auvergne	Developments in Auvergne
safe_from_conflicts	Safe from Conflicts
take_back_our_autonomy	Take back our Autonomy
promote_french_culture	Promote French Culture
technological_interests	Technological Interests
all_for_france	All for France
legacy_of_the_pagan_dynasty	Legacy of the Pagan dynasty
ava_rajadhiraja	Rajadhiraja
manu_kye_dhammathat	Manu Kye Dhammathat
ava_bamar_literature	Patronize Burmese Literature
ava_hill_tribes	Recruit from the Hill Tribes
ava_shan_in_line	Keep the Shan in Line
ava_provincial_governors	Rein in Provincial Governors
seat_of_the_avignon_papacy	Seat of the Avignon Papacy
avignon_exchange	The Avignon Exchange
renovate_and_keep_the_palais_des_papes	Renovate the Palais des Papes
papal_library_and_the_university_of_avignon	Advances of Avignon
build_upon_previous_developments	Building upon our Developments
revenge_for_the_papal_schism	Revenge for the Papal Schism
restoration_of_avignon_authority	Restoration of Avignonese Authority
remember_the_sarir_dynasty	The Sarir Dynasty
wars_of_the_caucuses	Wars of the Caucuses
alliance_shifts	Alliance Shifts
revenge_against_gazikumukh	Revenge Against Gazikumukh
stave_off_the_external_threats	External Threats
lessons_of_the_caucuses	Lessons of the Caucuses
cultures_of_the_caucuses	Cultures of the Caucuses
aborig_walkabout	Walkabout
aborig_fire_stick_farming	Fire-stick Farming
aborig_sacred	The Sacred Lands
aborig_outback	People of the Outback
aborig_music	Musical Tradition
aborig_dreamtime	Dreamtime
aborig_art	Aboriginal Art
raids_at_sea	Raids at Sea
naval_power_from_smyrna	Naval Power from Smyrna
revenge_for_the_smyrniote_crusades	Revenge for the Smyrniote Crusades
securing_aegean_trade	Securing Aegean Trade
changes_from_tamerlane	Changes from Tamerlane
establish_aydinid_architecture	Aydinid Architecture
beyond_being_a_seljuk_march	Beyond being a Seljuk March
white_elephant	White Elephant
corvee_system	The Corvee System
ayu_foreign_mercenaries	Foreign Mercenaries 
ayu_embassies	Embassies
trading_links	Promotion of Trading links
personal_executions	Personal Executions
phrai_luang	Phrai Luang
flower_wars	Flower Wars
sustaining_the_gods	Sustaining the Gods
telpochcalli	Telpochcalli
eagles_and_jaguars	Eagles and Jaguars
imperial_tribute	Imperial Tribute
floating_gardens	Floating Gardens
pochtecayotl	Pochtecayotl
AZV_history_of_discovery	History of the Azov Peoples
AZV_black_sea_gates	Above the black sea Gates
AZV_forgotten_people	A Forgotten People
AZV_land_of_the_free	Land of the Free
AZV_cossack_confusion	Cossack Confusion
AZV_heart_of_the_mountain	Heart of the Sea
AZV_wolfs_charge	Wolf's Charge
bad_hot_springs	Hot Springs
bad_zahringen	Legacy of the House of Zähringen
bad_small_nation_diplomacy	Active Diplomacy
bad_cuius_regio_euis_religio	Cuius Regio, Eius Religio
bad_reuiniting_the_nation	Reuinification of Baden
bad_expanding_the_nation	Diplomatic Expansion
bad_grand_duchy	Grand Duchy of Baden
gharbians	Gharbians
legacy_of_gisu_daraz	Legacy of Gisu Daraz
dakani_language	Dakani Language
karimis	Karimis
takht_e_firoza	Takht-e-Firoza
bahmani_primogeniture	Bahmani Primogeniture
madrasa_of_mahmud_gawan	Great Madrasa of the Deccan
bal_natural_defences	Natural Defenses
bal_hani_and_sheh_mureed	Hani and Sheh Mureed
bal_khan_of_the_baloch	Khan of the Baloch
bal_reorganization_of_the_army	Reorganization of the Army
bal_control_of_the_overland_trade	Control the Overland Trade
bal_chiefs_and_landlords	Chiefs and Landlords
bal_baluch_leadership	Baluchi Leadership
bam_bishop_of_bamberg	Bishop of Bamberg
bam_cathedral	Bamberg Cathedral
bam_city_of_beer	City of Beer
bam_little_venice	Little Venice
bam_witch_burner	Witch Burner
bam_vierzehnheiligen	Vierzehnheiligen
bam_university	Universitas Ottoniano Fridericiana
black_pepper_trading	Pepper Trading
resist_and_overcome_sunda	Against Sunda
entrepot_for_traders	Entrepot for Traders
contention_in_sumatra_and_java	Tensions in Sumatra and Java
dealing_with_the_banten_court	Dealing with our Court
divided_land_to_administrate	Divide and Administrate
protectionism_in_force	Protect and Profit
sophias_power	Sophie, Countess of Bar
french_politics_over_german_politics	French Politics over German Politics
a_peer_of_france	A Peer of France
ties_to_lorraine	Ties to Lorraine
using_the_status_of_duchy	Use the status of 'Duchy'
fortify_the_lands_of_bar	Fortify the Lands of Bar
all_for_france	All for France
ger_austrian_culture	Alpine and Danube River People
german_land_of_mercenaries	Land of the Mercenaries
zunft	Zunft
german_trade_routes	German Trade Routes
german_feudalism	German Feudalism
religious_toleration	Religious Toleration
everlasting_succession	Everlasting Succession
BDA_viswamitri_trade	Viswamitri Trade
BDA_center_of_art_and_culture	Center of Art and Culture
BDA_legacy_of_the_dodiya	Legacy of the Dodiya
BDA_sultans_from_delhi	Sultans from Delhi
BDA_jain_patronage	Jain Patronage
BDA_diplomatic_Ambition	Diplomatic Ambition
BDA_bank_of_baroda	Bank of Baroda
what_may_have_been_vijayapura_and_po_ni	Vijayapura and Po-ni
lessons_from_srivijaya_and_majapahit	Lessons from Srivijaya and Majapahit
chinese_influences	Chinese Influences
trading_in_nusantara	Trading amongst the Islands
promote_thalassocratic_control	Promote Thalassocratic Control
cross_island_empire	Multi-Island Empire
continue_our_golden_age	Continue our Golden Age
BEJ_words_of_allah	Words of Allah
BEJ_aksumite_past	Aksumite Past
BEJ_nile_to_red_sea	From the Nile to the Red Sea
BEJ_poetry	The poetry of Beja
BEJ_eastern_deserts	Eastern Deserts
BEJ_strong_lineage	Strong Lineage
BEJ_sudanese_trade	Sudanese Trade
BEM_crocodile	Crocodile Clan
BEM_morale	Bemba Pride
BEM_trade	Trading across land
BEM_manpower	Growing Ranks
BEM_production	Productive People
BEM_religion	Religious Freedom
BEM_unrest	Happy people
ben_curb_the_uzama	Curb the Uzama
ben_isiatua	Isiatua
ben_appointment_of_the_onotueyevbo	Appointment of the Onotueyevbo
ben_the_walls_of_benin	The Walls of Benin
ben_guilds	Benin Guilds
ben_adoption_of_benin_customs	Adoption of Benin Customs
ben_regulation_of_trade	Regulation of Trade
proximity_to_paris	Proximity to Paris
juniors_of_the_royal_family	Juniors of the Royal Family
legacy_of_john_the_magnificent	Legacy of John the Magnificent
